sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:40:57_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2719610897,0.807165,-0.074609,0.287472,-0.510181,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2719627564,0.807183,-0.074614,0.287424,-0.510178,-3.85776615142822,-4.12867689132690,8.23220920562744,1.14480447769165,0.32496756315231,0.96568202972412
2,2719644231,0.807171,-0.074589,0.287370,-0.510231,-3.86020708084106,-4.11303138732910,8.22528362274170,1.39455389976501,0.44074970483780,0.67155861854553
3,2719660898,0.807150,-0.074686,0.287419,-0.510224,-3.83790659904480,-4.11790084838867,8.21170806884766,0.26511064171791,0.60615658760071,0.72670269012451
4,2719677565,0.807136,-0.074736,0.287437,-0.510229,-3.83428740501404,-4.16528129577637,8.19873809814453,0.64435786008835,0.58094084262848,0.78198772668839
5,2719694232,0.807130,-0.074646,0.287356,-0.510296,-3.83148908615112,-4.11364889144897,8.21247577667236,1.91337764263153,0.54298287630081,0.66738379001617
6,2719710899,0.807120,-0.074677,0.287338,-0.510318,-3.84691596031189,-4.09990501403809,8.21967887878418,0.92235815525055,0.45237788558006,0.71559959650040
7,2719727566,0.807131,-0.074672,0.287296,-0.510324,-3.83544731140137,-4.13172626495361,8.22491550445557,1.18669390678406,0.40049937367439,0.92864596843719
8,2719744233,0.807129,-0.074705,0.287294,-0.510325,-3.82793188095093,-4.12370586395264,8.22256278991699,0.81215953826904,0.50351369380951,0.86590778827667
9,2719760900,0.807136,-0.074779,0.287319,-0.510288,-3.86623358726501,-4.15058994293213,8.19845390319824,0.42600965499878,0.48019331693649,1.02557730674744
10,2719777567,0.807120,-0.074840,0.287333,-0.510297,-3.84226226806641,-4.12218809127808,8.21709823608398,0.60765486955643,0.51772874593735,0.73740881681442
11,2719794234,0.807106,-0.074926,0.287375,-0.510283,-3.83594536781311,-4.13290739059448,8.20949554443359,0.33211344480515,0.58807396888733,0.80666553974152
12,2719810901,0.807088,-0.074936,0.287356,-0.510320,-3.82982897758484,-4.13109159469604,8.19748497009277,1.06808161735535,0.53668206930161,0.65053057670593
13,2719827568,0.807068,-0.074954,0.287350,-0.510353,-3.85130453109741,-4.12984323501587,8.21280097961426,0.95471966266632,0.58451384305954,0.66060912609100
14,2719844235,0.807060,-0.074953,0.287346,-0.510368,-3.85803985595703,-4.14499521255493,8.20234489440918,1.02885580062866,0.62502032518387,0.84176784753799
15,2719860902,0.807045,-0.074872,0.287288,-0.510435,-3.82662034034729,-4.13172721862793,8.19641876220703,1.75484764575958,0.63730156421661,0.68207257986069
16,2719877569,0.807040,-0.074897,0.287266,-0.510453,-3.83575725555420,-4.14008283615112,8.22618198394775,0.95360565185547,0.43497410416603,0.77431678771973
17,2719894236,0.807035,-0.074835,0.287194,-0.510511,-3.84996581077576,-4.11995172500610,8.20688819885254,1.70231604576111,0.48527735471725,0.68818122148514
18,2719910903,0.807030,-0.074886,0.287199,-0.510507,-3.84361267089844,-4.12424087524414,8.19989871978760,0.70399707555771,0.50423079729080,0.80009597539902
19,2719927570,0.807045,-0.074846,0.287156,-0.510514,-3.83833694458008,-4.17690801620483,8.21371459960938,1.39144206047058,0.51518028974533,0.99443233013153
20,2719944237,0.807072,-0.074732,0.287032,-0.510558,-3.84981489181519,-4.08401203155518,8.23074626922607,2.15494370460510,0.30869066715240,0.95994478464127
21,2719960904,0.807085,-0.074801,0.287022,-0.510533,-3.84274888038635,-4.10950517654419,8.22052574157715,0.59991985559464,0.29334861040115,0.98090875148773
22,2719977571,0.807105,-0.074757,0.286958,-0.510543,-3.82934427261353,-4.14026641845703,8.22071361541748,1.49467384815216,0.39515912532806,1.00694406032562
23,2719994238,0.807145,-0.074659,0.286886,-0.510535,-3.82766413688660,-4.11488342285156,8.20481014251709,1.78266322612762,0.48034691810608,1.29554808139801
24,2720010905,0.807194,-0.074561,0.286826,-0.510506,-3.84198570251465,-4.11940622329712,8.21535968780518,1.70674717426300,0.52620655298233,1.43950438499451
25,2720027572,0.807251,-0.074436,0.286759,-0.510472,-3.83905696868896,-4.09955453872681,8.22179889678955,1.88544690608978,0.55918282270432,1.54760253429413
26,2720044239,0.807303,-0.074288,0.286670,-0.510461,-3.83286595344543,-4.08473539352417,8.23571777343750,2.14728546142578,0.56897974014282,1.39190304279327
27,2720060906,0.807359,-0.074272,0.286669,-0.510376,-3.84403061866760,-4.12391185760498,8.23932361602783,0.93936479091644,0.52547645568848,1.64126789569855
28,2720077573,0.807431,-0.074140,0.286610,-0.510314,-3.83441114425659,-4.10925197601318,8.21053028106689,1.85262441635132,0.59685915708542,1.75217103958130
29,2720094240,0.807494,-0.074135,0.286625,-0.510206,-3.85455656051636,-4.11776542663574,8.21256351470947,0.74870401620865,0.51201701164246,1.85056233406067
30,2720110907,0.807548,-0.074163,0.286617,-0.510121,-3.84168386459351,-4.12195205688477,8.20571041107178,0.72032517194748,0.33238241076469,1.55252027511597
31,2720127574,0.807592,-0.074167,0.286602,-0.510060,-3.84005236625671,-4.10010719299316,8.23246479034424,0.92696851491928,0.42101517319679,1.40732192993164
32,2720144241,0.807602,-0.074290,0.286678,-0.509983,-3.85656976699829,-4.09107732772827,8.23944091796875,-0.09593236446381,0.57147693634033,1.16864979267120
33,2720160908,0.807606,-0.074503,0.286761,-0.509898,-3.84288311004639,-4.12215900421143,8.23504638671875,-0.64303243160248,0.29507753252983,1.04459488391876
34,2720177575,0.807605,-0.074671,0.286786,-0.509862,-3.84731626510620,-4.14066553115845,8.22658252716064,-0.09438279271126,0.16779519617558,0.80995678901672
35,2720194242,0.807580,-0.074749,0.286710,-0.509933,-3.83783292770386,-4.13003778457642,8.22886562347412,0.94053030014038,0.00424530496821,0.28676620125771
36,2720210909,0.807534,-0.074946,0.286674,-0.509997,-3.85357069969177,-4.11657953262329,8.24326133728027,0.13481883704662,-0.12943376600742,0.00411724112928
37,2720227576,0.807465,-0.075097,0.286652,-0.510097,-3.82217168807983,-4.11237001419067,8.18665409088135,0.38549032807350,0.16855077445507,-0.16803210973740
38,2720244243,0.807377,-0.075183,0.286647,-0.510226,-3.81711506843567,-4.11782932281494,8.15540313720703,0.72750949859619,0.51852267980576,-0.22727428376675
