sep=,
DeviceTag:,B
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:40:57_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2719594230,0.046739,-0.676416,0.153705,-0.718791,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2719610897,0.046751,-0.676368,0.153691,-0.718839,9.70811557769775,-2.81842041015625,0.36409270763397,3.10272264480591,3.89450144767761,1.27182435989380
2,2719627564,0.046851,-0.676356,0.153653,-0.718851,9.68965530395508,-2.84407711029053,0.34462556242943,2.36462879180908,3.82715225219727,1.52749037742615
3,2719644231,0.046790,-0.676314,0.153812,-0.718861,9.68941783905029,-2.88024735450745,0.32558694481850,2.25443005561829,3.71184372901917,1.73902571201324
4,2719660898,0.046771,-0.676307,0.153918,-0.718846,9.69315338134766,-2.89622664451599,0.36704856157303,2.80453968048096,3.30839300155640,1.67727351188660
5,2719677565,0.046762,-0.676329,0.153996,-0.718809,9.70473098754883,-2.86945724487305,0.36198434233665,2.65868806838989,3.14572644233704,1.56251573562622
6,2719694232,0.046796,-0.676362,0.154021,-0.718770,9.72519588470459,-2.88051772117615,0.36955252289772,2.55260014533997,3.19213652610779,1.48861014842987
7,2719710899,0.046779,-0.676369,0.154132,-0.718741,9.64402198791504,-2.88117527961731,0.37902534008026,2.56098818778992,3.24177408218384,1.69527912139893
8,2719727566,0.046838,-0.676358,0.154206,-0.718732,9.64294242858887,-2.89251065254211,0.35563197731972,2.84881091117859,3.42137026786804,1.89636445045471
9,2719744233,0.046935,-0.676334,0.154248,-0.718739,9.68668174743652,-2.91931605339050,0.36744111776352,3.35676240921021,3.46734523773193,1.95043289661407
10,2719760900,0.046999,-0.676312,0.154261,-0.718753,9.70574951171875,-2.88205695152283,0.33873638510704,3.37625336647034,3.49676132202148,1.64853584766388
11,2719777567,0.046972,-0.676296,0.154364,-0.718748,9.70695400238037,-2.85202288627625,0.35802087187767,2.77403473854065,3.42265105247498,1.62971067428589
12,2719794234,0.046906,-0.676312,0.154522,-0.718703,9.68836688995361,-2.85733366012573,0.32987070083618,1.77566432952881,3.28747963905334,1.65108430385590
13,2719810901,0.046815,-0.676332,0.154689,-0.718654,9.67944622039795,-2.90371131896973,0.36929288506508,1.71972656250000,3.25003433227539,1.57482266426086
14,2719827568,0.046815,-0.676367,0.154759,-0.718606,9.66791057586670,-2.92892074584961,0.34056514501572,2.11308598518372,3.20412278175354,1.52597904205322
15,2719844235,0.046829,-0.676352,0.154823,-0.718606,9.66738510131836,-2.91920900344849,0.32803854346275,2.91669774055481,3.45645976066589,1.64286279678345
16,2719860902,0.046828,-0.676342,0.154895,-0.718599,9.69186305999756,-2.87646245956421,0.35490441322327,3.05975723266602,3.34202194213867,1.60781168937683
17,2719877569,0.046814,-0.676318,0.155022,-0.718595,9.71647357940674,-2.87878155708313,0.39230811595917,2.74961328506470,3.45406532287598,1.80809020996094
18,2719894236,0.046811,-0.676288,0.155160,-0.718594,9.72859477996826,-2.87942624092102,0.35863673686981,2.31568288803101,3.61352944374084,1.91397333145142
19,2719910903,0.046780,-0.676243,0.155357,-0.718596,9.75878143310547,-2.89080643653870,0.36146062612534,2.13778996467590,3.68486142158508,2.06127190589905
20,2719927570,0.046790,-0.676202,0.155541,-0.718594,9.75876998901367,-2.90362334251404,0.38149955868721,2.06332087516785,3.69978022575378,2.19832539558411
21,2719944237,0.046811,-0.676132,0.155762,-0.718611,9.78088569641113,-2.92954039573669,0.37193748354912,2.12471461296082,3.88174605369568,2.45282602310181
22,2719960904,0.046882,-0.676059,0.155955,-0.718633,9.76984786987305,-2.91854000091553,0.37082347273827,2.30916452407837,3.91463255882263,2.56535530090332
23,2719977571,0.046935,-0.675946,0.156161,-0.718691,9.73776721954346,-2.95629000663757,0.38533085584641,2.45410656929016,4.22586536407471,2.57270622253418
24,2719994238,0.047012,-0.675807,0.156348,-0.718776,9.71220207214355,-2.94299387931824,0.37760290503502,2.57163023948669,4.49300575256348,2.62297105789185
25,2720010905,0.047087,-0.675634,0.156566,-0.718886,9.71661949157715,-2.93378567695618,0.32570040225983,2.31994748115540,4.82218027114868,2.77999019622803
26,2720027572,0.047151,-0.675396,0.156823,-0.719049,9.71215438842773,-2.93911004066467,0.37208220362663,2.26285696029663,5.38567304611206,2.96029067039490
27,2720044239,0.047251,-0.675165,0.157038,-0.719213,9.69992446899414,-2.92145991325378,0.36348953843117,2.12349796295166,5.46265172958374,2.91336822509766
28,2720060906,0.047247,-0.674921,0.157324,-0.719380,9.65811157226562,-2.93436145782471,0.38269239664078,1.92199003696442,5.47533035278320,2.77042388916016
29,2720077573,0.047242,-0.674692,0.157607,-0.719533,9.62064647674561,-2.95609712600708,0.37398162484169,1.91959524154663,5.33699560165405,2.73888158798218
30,2720094240,0.047194,-0.674506,0.157881,-0.719650,9.61097145080566,-2.95432782173157,0.35528835654259,2.11335539817810,4.87895107269287,2.46659302711487
31,2720110907,0.047165,-0.674379,0.158081,-0.719727,9.60176849365234,-2.98453259468079,0.36359736323357,2.28271937370300,4.42714309692383,2.15333676338196
32,2720127574,0.047191,-0.674314,0.158167,-0.719768,9.58537006378174,-2.98448467254639,0.36146584153175,2.82939672470093,3.91541409492493,1.83499646186829
33,2720144241,0.047298,-0.674326,0.158116,-0.719760,9.59165859222412,-2.96643209457397,0.33865821361542,3.49094676971436,3.27993679046631,1.52440404891968
34,2720160908,0.047338,-0.674388,0.158047,-0.719715,9.61631488800049,-2.94890856742859,0.32223892211914,3.71621155738831,2.77025723457336,1.08190619945526
35,2720177575,0.047369,-0.674518,0.157907,-0.719622,9.57352924346924,-2.94066786766052,0.31846722960472,3.87178254127502,2.21478152275085,0.64803975820541
36,2720194242,0.047410,-0.674697,0.157701,-0.719497,9.50736331939697,-2.94165802001953,0.34333363175392,3.70481300354004,1.94938254356384,0.33295226097107
37,2720210909,0.047292,-0.674923,0.157593,-0.719317,9.46905231475830,-2.95751738548279,0.34881556034088,3.03240251541138,1.47735333442688,-0.01108389534056
38,2720227576,0.047161,-0.675252,0.157385,-0.719061,9.50858402252197,-2.99030017852783,0.30782321095467,2.83436536788940,0.74940198659897,-0.64433228969574
39,2720244243,0.046907,-0.675612,0.157194,-0.718781,9.62500953674316,-2.98127126693726,0.27444481849670,2.17276358604431,0.62027549743652,-1.20020461082458
40,2720260910,0.046540,-0.676036,0.156985,-0.718452,9.70483016967773,-2.92987132072449,0.25703069567680,1.93268275260925,0.10850819200277,-1.87903070449829
41,2720277577,0.046133,-0.676493,0.156743,-0.718102,9.79927349090576,-2.88712215423584,0.28508639335632,1.87468338012695,-0.12413835525513,-2.26785731315613
42,2720294244,0.045696,-0.676997,0.156524,-0.717702,9.79879379272461,-2.87381005287170,0.32808178663254,1.55319237709045,-0.54314929246902,-2.34155774116516
43,2720310911,0.045300,-0.677560,0.156272,-0.717250,9.78791522979736,-2.80739712715149,0.38016226887703,1.83786475658417,-1.13653147220612,-2.33770275115967
44,2720327578,0.044934,-0.678104,0.156099,-0.716797,9.76885032653809,-2.82443642616272,0.39812275767326,1.58281350135803,-1.05217599868774,-1.80119395256042
45,2720344245,0.044717,-0.678605,0.155970,-0.716364,9.72501182556152,-2.82868790626526,0.45597988367081,2.10135555267334,-0.89515751600266,-0.82399260997772
46,2720360912,0.044639,-0.679051,0.155899,-0.715962,9.76620101928711,-2.83282065391541,0.45087727904320,2.51993107795715,-0.60323673486710,0.18347656726837
47,2720377579,0.044639,-0.679411,0.155895,-0.715621,9.82898807525635,-2.81935620307922,0.41071298718452,2.63543152809143,0.03418014198542,0.95066642761230
48,2720394246,0.044683,-0.679642,0.156031,-0.715369,9.82292747497559,-2.82775545120239,0.39810153841972,2.29128670692444,1.07770562171936,1.93228590488434
49,2720410913,0.044687,-0.679780,0.156348,-0.715169,9.74623489379883,-2.83284235000610,0.42047488689423,1.29624593257904,1.88599109649658,2.66708874702454
50,2720427580,0.044734,-0.679828,0.156750,-0.715033,9.72556114196777,-2.92453169822693,0.36737468838692,1.18102717399597,2.59698724746704,3.35480284690857
51,2720444247,0.044938,-0.679803,0.157069,-0.714973,9.70994377136230,-2.98313760757446,0.31152802705765,2.42469000816345,3.11999797821045,3.79201126098633
52,2720460914,0.045271,-0.679720,0.157310,-0.714978,9.73335170745850,-2.92206931114197,0.28605973720551,3.49340605735779,3.55068922042847,4.10476827621460
53,2720477581,0.045625,-0.679582,0.157561,-0.715031,9.72092723846436,-2.89086341857910,0.28692808747292,3.61644983291626,4.01768541336060,4.29915666580200
54,2720494248,0.045967,-0.679398,0.157855,-0.715120,9.70690155029297,-2.91024613380432,0.25308653712273,3.40204548835754,4.44621133804321,4.47967386245728
55,2720510915,0.046253,-0.679240,0.158197,-0.715176,9.69570922851562,-2.89199376106262,0.21156816184521,2.86110496520996,4.23293399810791,4.40688276290894
56,2720527582,0.046476,-0.679107,0.158600,-0.715199,9.68991184234619,-2.88465976715088,0.20706640183926,2.22404074668884,4.04671764373779,4.37108993530273
57,2720544249,0.046646,-0.678945,0.159098,-0.715230,9.69621658325195,-2.90138912200928,0.18759392201900,1.52900147438049,4.31690597534180,4.57934617996216
58,2720560916,0.046797,-0.678799,0.159674,-0.715231,9.68579006195068,-2.94938921928406,0.18576619029045,1.01353299617767,4.14136934280396,4.84190177917480
59,2720577583,0.046966,-0.678689,0.160164,-0.715215,9.69473648071289,-2.96821975708008,0.20464909076691,1.49055671691895,3.83933043479919,4.49493932723999
