sep=,
DeviceTag:,C
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:59:11_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3813477519,0.609862,0.393519,-0.583710,0.363998,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3813494186,0.609778,0.393489,-0.583841,0.363960,9.87114143371582,0.54093754291534,0.09007259458303,0.87282949686050,-0.97163689136505,0.87582617998123
2,3813510853,0.609688,0.393474,-0.583977,0.363910,9.89694118499756,0.55358809232712,0.09357817471027,0.81156396865845,-1.08558797836304,0.79021584987640
3,3813527520,0.609628,0.393455,-0.584087,0.363853,9.89673805236816,0.56414371728897,0.10622474551201,0.93143153190613,-0.86198902130127,0.63406801223755
4,3813544187,0.609528,0.393487,-0.584184,0.363830,9.89428424835205,0.56036663055420,0.07974458485842,1.11971032619476,-1.01726591587067,0.62985467910767
5,3813560854,0.609462,0.393503,-0.584255,0.363811,9.87796306610107,0.54851448535919,0.09723284840584,1.17174267768860,-0.71677786111832,0.56009852886200
6,3813577521,0.609394,0.393520,-0.584325,0.363794,9.90052604675293,0.53282123804092,0.05493111535907,1.15021514892578,-0.71927511692047,0.56780797243118
7,3813594188,0.609350,0.393501,-0.584406,0.363757,9.88601398468018,0.52988421916962,0.03491858765483,0.92445200681686,-0.62665951251984,0.59685277938843
8,3813610855,0.609286,0.393486,-0.584505,0.363721,9.90781021118164,0.52880823612213,0.06845070421696,0.87340581417084,-0.79610025882721,0.68489634990692
9,3813627522,0.609202,0.393465,-0.584629,0.363687,9.91344738006592,0.55618226528168,0.07694459706545,1.04517745971680,-0.94409042596817,0.83343726396561
10,3813644189,0.609118,0.393500,-0.584695,0.363683,9.91811752319336,0.56831145286560,0.07923372089863,1.28542459011078,-0.78127062320709,0.57782256603241
11,3813660856,0.609078,0.393506,-0.584754,0.363646,9.91298866271973,0.55833411216736,0.08248915523291,1.23983383178711,-0.56566280126572,0.42867979407310
12,3813677523,0.609055,0.393511,-0.584795,0.363616,9.89689254760742,0.56360292434692,0.09136550128460,1.05969977378845,-0.41941437125206,0.36624881625175
13,3813694190,0.608843,0.393735,-0.584790,0.363737,9.88053226470947,0.52041274309158,-0.11675383895636,3.27031898498535,-1.11588764190674,0.47781768441200
14,3813710857,0.608715,0.393856,-0.584924,0.363604,9.88783168792725,0.55545514822006,0.25104412436485,1.11102771759033,-1.79906821250916,-0.01523315440863
15,3813727524,0.608816,0.393746,-0.584967,0.363485,9.88704013824463,0.50304365158081,-0.05190507322550,-0.12668679654598,0.11815137416124,0.15573801100254
16,3813744191,0.608847,0.393496,-0.585248,0.363250,9.86071014404297,0.48280471563339,-0.00098003866151,-1.53851020336151,-1.12298250198364,1.04495978355408
17,3813760858,0.608723,0.393448,-0.585443,0.363195,9.84465599060059,0.55259370803833,-0.01080998219550,0.47908547520638,-1.41413450241089,1.14504110813141
18,3813777525,0.608455,0.393504,-0.585680,0.363202,9.92316246032715,0.54984945058823,0.06983965635300,1.43583512306213,-2.25640821456909,1.45805418491364
19,3813794192,0.608238,0.393635,-0.585781,0.363261,9.95550251007080,0.53292626142502,0.06359840184450,2.30386233329773,-1.52138793468475,0.88157624006271
20,3813810859,0.608032,0.393824,-0.585835,0.363315,9.90680122375488,0.52567064762115,0.03540117293596,2.55989980697632,-1.44594573974609,0.46740612387657
21,3813827526,0.607846,0.393979,-0.585924,0.363314,9.91902923583984,0.53106069564819,0.06825147569180,1.98375463485718,-1.58022022247314,0.41997143626213
22,3813844193,0.607751,0.393999,-0.586036,0.363270,9.93862152099609,0.53231531381607,0.05776360258460,1.10380494594574,-1.07536852359772,0.62250387668610
23,3813860860,0.607686,0.393984,-0.586127,0.363249,9.93726348876953,0.54767459630966,0.02843185327947,0.89996635913849,-0.73042947053909,0.72409665584564
24,3813877527,0.607613,0.394022,-0.586164,0.363270,9.91081523895264,0.54601353406906,0.02441052533686,1.47365212440491,-0.54756748676300,0.56199383735657
25,3813894194,0.607528,0.394118,-0.586146,0.363337,9.88402557373047,0.52715164422989,0.02096935361624,2.11833691596985,-0.39172706007957,0.40879151225090
26,3813910861,0.607438,0.394187,-0.586153,0.363402,9.86763000488281,0.53770941495895,-0.00888693146408,1.99873828887939,-0.44345191121101,0.57901352643967
27,3813927528,0.607391,0.394201,-0.586188,0.363408,9.88348770141602,0.55146133899689,-0.02458589524031,1.27817606925964,-0.41854351758957,0.52832591533661
28,3813944195,0.607349,0.394207,-0.586272,0.363336,9.91744613647461,0.53719794750214,-0.00042193528498,0.74367743730545,-0.79262977838516,0.35007432103157
29,3813960862,0.607340,0.394183,-0.586342,0.363264,9.92751884460449,0.55026984214783,0.02660313248634,0.74580335617065,-0.51410448551178,0.35760447382927
30,3813977529,0.607353,0.394193,-0.586345,0.363228,9.95140647888184,0.55158203840256,0.05062170326710,1.11604773998260,-0.14022311568260,0.13024057447910
31,3813994196,0.607322,0.394322,-0.586253,0.363287,9.91786956787109,0.51110392808914,-0.03639042004943,2.28371167182922,0.03786197304726,-0.10234834998846
32,3814010863,0.607382,0.394365,-0.586145,0.363315,9.90496635437012,0.54732429981232,0.09427689015865,1.43811464309692,0.58933538198471,-0.15398995578289
33,3814027530,0.607440,0.394335,-0.586123,0.363285,9.89362812042236,0.48905223608017,-0.08061837404966,1.04360222816467,0.27523404359818,0.14060091972351
34,3814044197,0.607419,0.394369,-0.586140,0.363256,9.90244579315186,0.50593942403793,0.04496081918478,1.20068478584290,-0.37692284584045,0.18319483101368
35,3814060864,0.607427,0.394467,-0.586062,0.363261,9.89600181579590,0.49287015199661,0.05424967780709,1.85418033599854,0.06948725134134,-0.25663283467293
36,3814077531,0.607371,0.394586,-0.586016,0.363302,9.89496803283691,0.53277450799942,0.05965908616781,2.06334614753723,-0.28384637832642,0.04699930176139
