sep=,
DeviceTag:,D
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_12:01:38_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3960647129,0.023159,-0.701117,-0.088418,-0.707164,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3960663796,0.023132,-0.701273,-0.088763,-0.706967,9.72163009643555,0.90367734432220,0.08436301350594,2.99545669555664,-1.15096437931061,-1.73002910614014
2,3960680463,0.023070,-0.701402,-0.089081,-0.706801,9.70124053955078,0.92342132329941,0.08413832634687,2.65443611145020,-0.88991957902908,-1.79103851318359
3,3960697130,0.022969,-0.701489,-0.089376,-0.706681,9.69668769836426,0.95212668180466,0.08020006120205,2.36407780647278,-0.48334372043610,-1.90756368637085
4,3960713797,0.022843,-0.701551,-0.089629,-0.706591,9.71635437011719,0.96546542644501,0.03408804535866,2.02810311317444,-0.22473222017288,-1.83970248699188
5,3960730464,0.022709,-0.701581,-0.089819,-0.706541,9.74834346771240,0.98696953058243,0.03227702528238,1.63950753211975,0.13377514481544,-1.60401475429535
6,3960747131,0.022543,-0.701618,-0.089939,-0.706495,9.76806545257568,0.99602919816971,0.02551084384322,1.17121744155884,0.10522977262735,-1.42156243324280
7,3960763798,0.022310,-0.701661,-0.089987,-0.706453,9.81548976898193,0.98588931560516,-0.01145591493696,0.48580890893936,0.06734859198332,-1.38793301582336
8,3960780465,0.022073,-0.701685,-0.090044,-0.706430,9.81381034851074,0.97891736030579,0.00588649185374,0.49007344245911,0.24730341136456,-1.47565650939941
9,3960797132,0.021829,-0.701743,-0.090051,-0.706379,9.77950286865234,0.96706855297089,0.01520175393671,0.22324028611183,-0.05216665938497,-1.23912310600281
10,3960813799,0.021639,-0.701839,-0.090077,-0.706286,9.79702758789062,0.93776822090149,0.01946893520653,0.60835283994675,-0.40484073758125,-1.03529739379883
11,3960830466,0.021481,-0.701947,-0.090177,-0.706171,9.84966087341309,0.91438859701157,0.00762995611876,1.12147772312164,-0.56458717584610,-1.22917270660400
12,3960847133,0.021332,-0.702078,-0.090286,-0.706031,9.83571243286133,0.93063586950302,0.03571447730064,1.19894325733185,-0.78996604681015,-1.21640467643738
13,3960863800,0.021131,-0.702202,-0.090381,-0.705901,9.80510330200195,0.89763766527176,0.06532333791256,0.92449033260345,-0.73587203025818,-1.39954829216003
14,3960880467,0.020907,-0.702296,-0.090492,-0.705801,9.79356861114502,0.93431967496872,0.03971633315086,0.85196799039841,-0.46130388975143,-1.61597549915314
15,3960897134,0.020709,-0.702364,-0.090659,-0.705718,9.81724548339844,0.97767865657806,0.01329969055951,1.24865758419037,-0.24956375360489,-1.77555572986603
16,3960913801,0.020520,-0.702420,-0.090782,-0.705652,9.81078624725342,1.02983343601227,0.01750116050243,1.07548975944519,-0.09086743742228,-1.53206825256348
17,3960930468,0.020322,-0.702481,-0.090867,-0.705585,9.78310966491699,1.00356614589691,0.03063195571303,0.86170089244843,-0.12242230772972,-1.39269697666168
18,3960947135,0.020091,-0.702534,-0.090999,-0.705522,9.77063846588135,0.98048013448715,0.00611554924399,0.91470628976822,-0.09596437215805,-1.77341675758362
19,3960963802,0.019845,-0.702547,-0.091163,-0.705495,9.79269599914551,0.97137689590454,0.02403184957802,0.96235883235931,0.26073729991913,-2.04374623298645
20,3960980469,0.019574,-0.702510,-0.091297,-0.705522,9.76723575592041,1.01817893981934,-0.00945905502886,0.66776150465012,0.75489586591721,-2.04984211921692
21,3960997136,0.019247,-0.702433,-0.091369,-0.705598,9.79463005065918,1.04845082759857,0.02501880005002,0.08303637057543,1.16038346290588,-2.05689835548401
22,3961013803,0.018848,-0.702362,-0.091348,-0.705683,9.81797885894775,1.05533063411713,0.03055713698268,-0.74240332841873,1.13963711261749,-1.96160626411438
23,3961030470,0.018369,-0.702309,-0.091264,-0.705759,9.85042190551758,1.02993607521057,0.05254885926843,-1.42344498634338,0.96467673778534,-2.02536892890930
24,3961047137,0.017880,-0.702289,-0.091141,-0.705807,9.88256263732910,1.03769731521606,0.05971242859960,-1.62887156009674,0.67133444547653,-1.86103785037994
25,3961063804,0.017397,-0.702268,-0.090980,-0.705861,9.85965347290039,1.05034744739532,0.03924220800400,-1.81466627120972,0.70634704828262,-1.64904165267944
26,3961080471,0.016932,-0.702196,-0.090837,-0.705963,9.82156753540039,1.02526879310608,0.02929862216115,-1.66373074054718,1.20231151580811,-1.68968915939331
27,3961097138,0.016504,-0.702061,-0.090749,-0.706118,9.77772045135498,1.07350444793701,0.00279522151686,-1.23793220520020,1.78163230419159,-1.81756031513214
28,3961113805,0.016151,-0.701896,-0.090713,-0.706295,9.76065635681152,1.06126761436462,-0.01759523339570,-0.62539166212082,2.06723928451538,-1.72651994228363
29,3961130472,0.015902,-0.701716,-0.090749,-0.706474,9.71724987030029,1.02982056140900,-0.04047640040517,0.24147650599480,2.21776533126831,-1.58248698711395
30,3961147139,0.015766,-0.701521,-0.090831,-0.706661,9.74523925781250,1.01251769065857,-0.08030190318823,0.97338509559631,2.38711667060852,-1.25913953781128
31,3961163806,0.015753,-0.701310,-0.090931,-0.706858,9.77204513549805,1.03129363059998,-0.07125902175903,1.67373859882355,2.58866262435913,-0.76507055759430
32,3961180473,0.015765,-0.701094,-0.090967,-0.707067,9.72725296020508,1.06310033798218,-0.04556422308087,1.45581316947937,2.70020627975464,-0.33494371175766
33,3961197140,0.015720,-0.700887,-0.090922,-0.707279,9.68260955810547,1.05887711048126,-0.07394500076771,0.79521024227142,2.63623809814453,-0.21338579058647
34,3961213807,0.015617,-0.700721,-0.090823,-0.707459,9.65509414672852,0.99850046634674,-0.08116611838341,0.27750080823898,2.25738811492920,-0.21597270667553
35,3961230474,0.015528,-0.700617,-0.090739,-0.707574,9.67361831665039,0.95718914270401,-0.10744494944811,0.43792596459389,1.64929139614105,-0.16614319384098
36,3961247141,0.015533,-0.700574,-0.090698,-0.707622,9.70190334320068,0.93677997589111,-0.08252550661564,1.09886157512665,1.07390201091766,0.12528452277184
37,3961263808,0.015613,-0.700597,-0.090684,-0.707600,9.70140361785889,0.96325242519379,-0.05331740528345,1.66136789321899,0.46849474310875,0.41206994652748
38,3961280475,0.015710,-0.700686,-0.090688,-0.707508,9.71563911437988,1.01246833801270,-0.04245331138372,1.88021540641785,-0.18144674599171,0.45449733734131
39,3961297142,0.015755,-0.700792,-0.090663,-0.707406,9.72401428222656,1.06485641002655,-0.03619151189923,1.49812531471252,-0.33978453278542,0.35287898778915
40,3961313809,0.015712,-0.700918,-0.090569,-0.707294,9.75979614257812,1.07659339904785,-0.00124381075148,0.73283052444458,-0.53698945045471,0.26927912235260
41,3961330476,0.015605,-0.701039,-0.090410,-0.707196,9.78477859497070,1.07520103454590,0.02765838801861,0.09253867715597,-0.47555732727051,0.26897177100182
42,3961347143,0.015506,-0.701131,-0.090220,-0.707132,9.76721954345703,1.03043031692505,0.04732044413686,-0.04723621532321,-0.15810078382492,0.43446820974350
43,3961363810,0.015436,-0.701209,-0.090062,-0.707076,9.78074073791504,1.04212856292725,0.06252254545689,0.25479510426521,-0.04986152052879,0.41162168979645
