sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_12:04:07_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,4110083451,0.844184,-0.087205,0.279095,-0.449286,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,4110100118,0.844269,-0.087255,0.279023,-0.449162,-3.96089816093445,-3.91872835159302,8.27888870239258,0.68990367650986,-0.20558671653271,1.84282088279724
2,4110116785,0.844411,-0.087096,0.278839,-0.449039,-3.91598677635193,-3.85239219665527,8.30096340179443,2.28005528450012,-0.31787279248238,2.35165548324585
3,4110133452,0.844556,-0.087292,0.278823,-0.448738,-3.93698334693909,-3.95480275154114,8.27241039276123,-0.63260167837143,-0.55043613910675,2.81122446060181
4,4110150119,0.844769,-0.087210,0.278584,-0.448502,-3.91960120201111,-4.03167247772217,8.25682735443115,1.83728873729706,-1.07103991508484,3.04057335853577
5,4110166786,0.845001,-0.087056,0.278266,-0.448292,-3.92200589179993,-3.91285753250122,8.30068206787109,2.56429219245911,-1.32698738574982,3.02614021301270
6,4110183453,0.845186,-0.087071,0.278082,-0.448054,-3.91780257225037,-3.92039799690247,8.26246738433838,1.08472335338593,-1.00153982639313,2.80541014671326
7,4110200120,0.845314,-0.087112,0.277974,-0.447873,-3.90198493003845,-3.97974753379822,8.26164817810059,0.76485931873322,-0.50083720684052,2.30495095252991
8,4110216787,0.845405,-0.087063,0.277886,-0.447763,-3.91667056083679,-3.98567557334900,8.26314163208008,1.34881603717804,0.01062927022576,1.95398008823395
9,4110233454,0.845463,-0.087004,0.277816,-0.447709,-3.92190241813660,-3.95628929138184,8.26160907745361,1.43977952003479,0.24396096169949,1.56136310100555
10,4110250121,0.845483,-0.086945,0.277786,-0.447702,-3.92622447013855,-3.92384386062622,8.30449390411377,1.38177943229675,0.57556849718094,1.18407487869263
11,4110266788,0.845480,-0.086986,0.277784,-0.447701,-3.92579174041748,-3.90984392166138,8.31292533874512,0.70802468061447,0.47478261590004,0.92505395412445
12,4110283455,0.845445,-0.087064,0.277823,-0.447727,-3.89676880836487,-3.92796325683594,8.27257537841797,0.40593561530113,0.67328095436096,0.61482000350952
13,4110300122,0.845398,-0.087153,0.277890,-0.447758,-3.90654397010803,-3.94345784187317,8.25945472717285,0.25838091969490,0.84151792526245,0.52279359102249
14,4110316789,0.845342,-0.087176,0.277950,-0.447822,-3.90257334709167,-3.94310474395752,8.26708221435547,0.72722142934799,1.04134833812714,0.42800104618073
15,4110333456,0.845287,-0.087180,0.277995,-0.447897,-3.93578147888184,-3.93801712989807,8.28850460052490,0.88677561283112,0.99699985980988,0.43295705318451
16,4110350123,0.845223,-0.087186,0.278033,-0.447991,-3.93451452255249,-3.90132331848145,8.29571628570557,0.93449217081070,0.99598830938339,0.25967434048653
17,4110366790,0.845164,-0.087318,0.278102,-0.448036,-3.92979049682617,-3.92484092712402,8.28332901000977,0.01739102229476,0.74175649881363,0.35033050179482
18,4110383457,0.845095,-0.087451,0.278170,-0.448098,-3.92080712318420,-3.94710278511047,8.29166507720947,0.02931373566389,0.75303894281387,0.24010622501373
19,4110400124,0.845030,-0.087641,0.278239,-0.448140,-3.92185854911804,-3.94022226333618,8.26772308349609,-0.34353673458099,0.55720430612564,0.25430849194527
20,4110416791,0.844998,-0.087733,0.278257,-0.448170,-3.89776611328125,-3.93117880821228,8.25040817260742,0.41069963574409,0.52456086874008,0.53402477502823
21,4110433458,0.844979,-0.087803,0.278282,-0.448177,-3.88915443420410,-3.92364764213562,8.25357246398926,0.46645843982697,0.57894939184189,0.77597516775131
22,4110450125,0.844965,-0.087840,0.278319,-0.448174,-3.91831636428833,-3.95713329315186,8.27332782745361,0.61925107240677,0.75621491670609,0.89060485363007
23,4110466792,0.844969,-0.087834,0.278325,-0.448164,-3.91364741325378,-3.94981813430786,8.27546119689941,0.93997329473495,0.64438992738724,1.09057605266571
24,4110483459,0.844952,-0.087866,0.278368,-0.448163,-3.91508579254150,-3.96789097785950,8.28235626220703,0.62017309665680,0.79331499338150,0.91288775205612
25,4110500126,0.844929,-0.087857,0.278362,-0.448211,-3.92114877700806,-3.93466281890869,8.29266166687012,1.10823583602905,0.68807238340378,0.62831789255142
26,4110516793,0.844921,-0.087933,0.278392,-0.448193,-3.91690921783447,-3.94167113304138,8.26439762115479,0.37673717737198,0.55343919992447,0.95485413074493
27,4110533460,0.844887,-0.088046,0.278445,-0.448203,-3.88690257072449,-3.97375893592834,8.27506065368652,0.11214520037174,0.62678116559982,0.67543250322342
28,4110550127,0.844851,-0.088059,0.278453,-0.448262,-3.90620017051697,-3.92478251457214,8.27314090728760,0.93826991319656,0.72481375932693,0.52572625875473
29,4110566794,0.844800,-0.088238,0.278561,-0.448256,-3.92461562156677,-3.93627071380615,8.27248764038086,-0.46614474058151,0.78054702281952,0.58284258842468
30,4110583461,0.844744,-0.088411,0.278631,-0.448285,-3.88625025749207,-4.02850437164307,8.25082206726074,-0.24490225315094,0.61291199922562,0.35479995608330
31,4110600128,0.844708,-0.088360,0.278596,-0.448383,-3.92067050933838,-3.95462417602539,8.27247619628906,1.52675998210907,0.70235139131546,0.37376609444618
32,4110616795,0.844644,-0.088495,0.278683,-0.448424,-3.91465163230896,-3.88761019706726,8.30325317382812,-0.08176214247942,0.82962095737457,0.39643338322639
33,4110633462,0.844602,-0.088740,0.278813,-0.448374,-3.90507745742798,-4.04310131072998,8.25625228881836,-0.99958050251007,0.65258592367172,0.76713877916336
34,4110650129,0.844599,-0.088596,0.278736,-0.448456,-3.90674757957458,-3.97821044921875,8.26371097564697,2.18728613853455,0.67182117700577,0.72481387853622
35,4110666796,0.844559,-0.088651,0.278781,-0.448493,-3.92650675773621,-3.87198519706726,8.29950046539307,0.53992849588394,0.80847764015198,0.56196826696396
36,4110683463,0.844526,-0.088844,0.278893,-0.448446,-3.91583776473999,-3.99348497390747,8.23410892486572,-0.64229613542557,0.68371826410294,0.89620119333267
37,4110700130,0.844529,-0.088761,0.278873,-0.448470,-3.87368035316467,-3.97359752655029,8.23590469360352,1.55296182632446,0.77678185701370,0.97820007801056
38,4110716797,0.844488,-0.088869,0.278960,-0.448471,-3.90089011192322,-3.98323106765747,8.25340747833252,0.03201587125659,0.86450541019440,0.70114761590958
39,4110733464,0.844466,-0.088892,0.278981,-0.448496,-3.93692827224731,-4.01597356796265,8.27396678924561,0.77086544036865,0.71018892526627,0.77551406621933
40,4110750131,0.844429,-0.088836,0.278945,-0.448598,-3.96185278892517,-3.91115641593933,8.32465839385986,1.53563523292542,0.67919760942459,0.42508119344711
41,4110766798,0.844361,-0.089107,0.279044,-0.448612,-3.93152165412903,-3.93275523185730,8.30657768249512,-0.93663710355759,0.49583619832993,0.23319081962109
42,4110783465,0.844295,-0.089272,0.279115,-0.448658,-3.88146185874939,-3.98433494567871,8.25978088378906,-0.14832955598831,0.70241540670395,0.18570487201214
43,4110800132,0.844252,-0.089419,0.279172,-0.448674,-3.87282514572144,-3.99470233917236,8.23247241973877,-0.06868685781956,0.59431713819504,0.49426108598709
44,4110816799,0.844203,-0.089517,0.279219,-0.448718,-3.90086627006531,-3.98878026008606,8.25945758819580,0.29831111431122,0.70765322446823,0.41488727927208
45,4110833466,0.844177,-0.089609,0.279227,-0.448744,-3.90991854667664,-3.98977446556091,8.27453422546387,0.38375508785248,0.39998072385788,0.67020744085312
46,4110850133,0.844136,-0.089740,0.279252,-0.448778,-3.91207385063171,-3.99579644203186,8.25506305694580,0.15421405434608,0.45406195521355,0.42243024706841
47,4110866800,0.844104,-0.089844,0.279261,-0.448813,-3.89530515670776,-3.99392986297607,8.28491401672363,0.36587741971016,0.43007567524910,0.49529844522476
48,4110883467,0.844068,-0.089964,0.279288,-0.448839,-3.89360618591309,-3.98709559440613,8.25878238677979,0.20501682162285,0.48489958047867,0.50486463308334
49,4110900134,0.844021,-0.090100,0.279341,-0.448868,-3.89981460571289,-3.98153829574585,8.22427558898926,0.02349965274334,0.61111903190613,0.45171836018562
50,4110916801,0.843980,-0.090249,0.279396,-0.448881,-3.87110137939453,-4.02111244201660,8.21861457824707,-0.08845985680819,0.55252993106842,0.54108107089996
51,4110933468,0.843987,-0.090206,0.279383,-0.448885,-3.90057492256165,-4.00196790695190,8.22914028167725,1.24846553802490,0.65412276983261,1.07143056392670
52,4110950135,0.843990,-0.090232,0.279382,-0.448875,-3.92768239974976,-3.99349951744080,8.25912475585938,0.77734541893005,0.51224112510681,1.01959025859833
53,4110966802,0.844000,-0.090244,0.279367,-0.448863,-3.92331027984619,-3.98531913757324,8.28491878509521,0.91261869668961,0.46137431263924,1.06062185764313
54,4110983469,0.843997,-0.090322,0.279398,-0.448833,-3.90287923812866,-3.99380373954773,8.24628829956055,0.34719291329384,0.54403930902481,1.00641262531281
55,4111000136,0.844002,-0.090291,0.279405,-0.448826,-3.88941502571106,-4.02306461334229,8.22722244262695,1.08485150337219,0.72793859243393,1.13489878177643
56,4111016803,0.844010,-0.090209,0.279390,-0.448837,-3.90754842758179,-4.00371265411377,8.25290298461914,1.48221969604492,0.74869757890701,1.13642263412476
57,4111033470,0.844014,-0.090167,0.279404,-0.448829,-3.90117168426514,-4.01782894134521,8.26084518432617,1.12759900093079,0.79661893844604,1.17221641540527
58,4111050137,0.844001,-0.090121,0.279386,-0.448874,-3.90398359298706,-3.99496960639954,8.25458621978760,1.34288656711578,0.69621717929840,0.77836996316910
59,4111066804,0.843985,-0.090076,0.279373,-0.448920,-3.90264797210693,-3.96372771263123,8.29617500305176,1.32370281219482,0.72749036550522,0.77173632383347
60,4111083471,0.843958,-0.090168,0.279416,-0.448926,-3.91642832756042,-3.99149179458618,8.26500797271729,0.27225017547607,0.62930405139923,0.72542846202850
61,4111100138,0.843944,-0.090142,0.279404,-0.448965,-3.91293716430664,-4.00265979766846,8.24121189117432,1.19969892501831,0.67005383968353,0.77384936809540
62,4111116805,0.843922,-0.090174,0.279446,-0.448973,-3.89183688163757,-4.00547599792480,8.26113319396973,0.62739586830139,0.79444193840027,0.86431342363358
63,4111133472,0.843915,-0.090161,0.279447,-0.448990,-3.88931274414062,-4.01063632965088,8.26077365875244,1.04992866516113,0.67974829673767,0.89994060993195
64,4111150139,0.843885,-0.090162,0.279453,-0.449041,-3.90457201004028,-3.95319700241089,8.26893138885498,1.00159752368927,0.73363733291626,0.60182160139084
65,4111166806,0.843853,-0.090331,0.279525,-0.449023,-3.90500545501709,-3.99262213706970,8.22597217559814,-0.29886820912361,0.56390208005905,0.70057141780853
66,4111183473,0.843823,-0.090367,0.279518,-0.449077,-3.90303182601929,-4.00812149047852,8.23333740234375,0.84398961067200,0.54893130064011,0.52112877368927
67,4111200140,0.843796,-0.090416,0.279543,-0.449101,-3.90031814575195,-4.00138044357300,8.26744842529297,0.61371868848801,0.67485618591309,0.68784189224243
68,4111216807,0.843792,-0.090444,0.279527,-0.449113,-3.92224097251892,-4.03198003768921,8.25917053222656,0.85520809888840,0.44019263982773,0.85605323314667
69,4111233474,0.843799,-0.090357,0.279485,-0.449143,-3.90050268173218,-3.97805976867676,8.25491046905518,1.61847901344299,0.61817526817322,1.03240931034088
70,4111250141,0.843805,-0.090442,0.279532,-0.449085,-3.88719248771667,-4.00973892211914,8.24156188964844,0.20044499635696,0.56586134433746,1.21854972839355
71,4111266808,0.843817,-0.090373,0.279482,-0.449108,-3.89342331886292,-4.00736427307129,8.24433326721191,1.55712401866913,0.52673792839050,1.00105953216553
72,4111283475,0.843841,-0.090384,0.279439,-0.449087,-3.91779518127441,-3.97508835792542,8.26954841613770,0.99064785242081,0.26866436004639,1.14122509956360
73,4111300142,0.843841,-0.090421,0.279429,-0.449087,-3.90008664131165,-3.98820614814758,8.26255702972412,0.76713883876801,0.44103792309761,0.91430938243866
74,4111316809,0.843847,-0.090457,0.279423,-0.449072,-3.92062520980835,-4.00321483612061,8.25507450103760,0.72555655241013,0.43522375822067,1.04070806503296
75,4111333476,0.843845,-0.090481,0.279427,-0.449068,-3.89901375770569,-4.02960491180420,8.25620746612549,0.77981692552567,0.55894589424133,0.98615294694901
76,4111350143,0.843857,-0.090406,0.279372,-0.449095,-3.89299750328064,-4.02195978164673,8.27359771728516,1.62237226963043,0.52641773223877,0.95914429426193
77,4111366810,0.843876,-0.090394,0.279332,-0.449087,-3.88582897186279,-3.97860646247864,8.25013160705566,1.13488602638245,0.36979615688324,1.09995007514954
78,4111383477,0.843876,-0.090409,0.279322,-0.449089,-3.89903926849365,-4.00757646560669,8.25024127960205,0.87970668077469,0.49023991823196,0.98187565803528
79,4111400144,0.843889,-0.090371,0.279273,-0.449103,-3.90651798248291,-3.98187255859375,8.25648880004883,1.33992826938629,0.41342741250992,1.03230714797974
80,4111416811,0.843875,-0.090443,0.279308,-0.449094,-3.88777089118958,-3.98608946800232,8.26863479614258,0.38672614097595,0.59526473283768,0.91163271665573
81,4111433478,0.843858,-0.090518,0.279353,-0.449083,-3.90761160850525,-4.02655172348022,8.26209163665771,0.33007088303566,0.65832322835922,0.90230971574783
82,4111450145,0.843848,-0.090471,0.279334,-0.449122,-3.91694164276123,-4.00703811645508,8.27455234527588,1.35115969181061,0.69190150499344,0.81523948907852
83,4111466812,0.843819,-0.090602,0.279385,-0.449119,-3.90732431411743,-4.00966930389404,8.25027370452881,0.00471273669973,0.55027598142624,0.71088045835495
84,4111483479,0.843814,-0.090591,0.279360,-0.449146,-3.89211773872375,-4.01829862594604,8.25246810913086,1.13160753250122,0.52653312683105,0.83047896623611
85,4111500146,0.843795,-0.090582,0.279346,-0.449191,-3.89042830467224,-3.96066474914551,8.28260898590088,1.12211799621582,0.62293928861618,0.68344926834106
86,4111516813,0.843773,-0.090696,0.279403,-0.449175,-3.90099620819092,-4.01228523254395,8.25519561767578,0.06021545454860,0.61161834001541,0.84183818101883
87,4111533480,0.843765,-0.090717,0.279398,-0.449188,-3.88829159736633,-4.02156829833984,8.28447723388672,0.86244344711304,0.54512786865234,0.84917616844177
88,4111550147,0.843746,-0.090748,0.279407,-0.449214,-3.90959048271179,-4.00487375259399,8.25354290008545,0.77064782381058,0.61225879192352,0.74946606159210
89,4111566814,0.843772,-0.090769,0.279392,-0.449168,-3.88035416603088,-4.05132722854614,8.23615360260010,0.79280269145966,0.36600548028946,1.30362224578857
90,4111583481,0.843801,-0.090714,0.279336,-0.449161,-3.88652610778809,-4.04302787780762,8.25234603881836,1.45966768264771,0.41513061523438,1.16580045223236
91,4111600148,0.843813,-0.090627,0.279247,-0.449211,-3.92210316658020,-3.94631075859070,8.28763771057129,1.81350684165955,0.35035607218742,0.88827389478683
92,4111616815,0.843801,-0.090779,0.279323,-0.449155,-3.89671778678894,-3.97927308082581,8.26606273651123,-0.28256574273109,0.56954962015152,1.04355108737946
93,4111633482,0.843832,-0.090741,0.279329,-0.449102,-3.85308480262756,-4.04354190826416,8.23858451843262,1.07150733470917,0.68040132522583,1.45863020420074
94,4111650149,0.843850,-0.090643,0.279310,-0.449100,-3.89650487899780,-4.02394151687622,8.24901390075684,1.58479869365692,0.76968729496002,1.23362302780151
95,4111666816,0.843856,-0.090643,0.279280,-0.449107,-3.91094470024109,-3.99985575675964,8.29289627075195,1.04365360736847,0.41630885004997,0.97105431556702
96,4111683483,0.843834,-0.090782,0.279313,-0.449098,-3.93573045730591,-4.01973199844360,8.30057048797607,0.01631529070437,0.41283831000328,0.72291845083237
97,4111700150,0.843813,-0.090844,0.279280,-0.449147,-3.91887950897217,-4.00913763046265,8.25623607635498,0.76269495487213,0.29020470380783,0.52375406026840
98,4111716817,0.843777,-0.090935,0.279294,-0.449186,-3.87815713882446,-3.99493813514709,8.25194454193115,0.41251814365387,0.48545026779175,0.52307534217834
99,4111733484,0.843753,-0.091005,0.279314,-0.449205,-3.87132334709167,-4.00351572036743,8.23454761505127,0.51002568006516,0.57862931489944,0.67897987365723
100,4111750151,0.843779,-0.090944,0.279281,-0.449189,-3.85734820365906,-4.03348922729492,8.22500038146973,1.38769602775574,0.54251539707184,1.26676559448242
101,4111766818,0.843775,-0.090940,0.279287,-0.449195,-3.88084673881531,-3.99190950393677,8.30071163177490,0.95016717910767,0.66593021154404,0.97479385137558
102,4111783485,0.843756,-0.090954,0.279289,-0.449225,-3.89669942855835,-4.03024530410767,8.28347396850586,0.89572721719742,0.62287527322769,0.75567710399628
103,4111800152,0.843753,-0.090968,0.279317,-0.449212,-3.88590478897095,-4.01942873001099,8.23966312408447,0.74958127737045,0.72294402122498,1.05229783058167
104,4111816819,0.843746,-0.090934,0.279283,-0.449252,-3.90433454513550,-3.99691724777222,8.26749229431152,1.32667386531830,0.55539858341217,0.79165017604828
105,4111833486,0.843710,-0.091017,0.279310,-0.449287,-3.92227888107300,-3.97822618484497,8.27667140960693,0.42126491665840,0.59321576356888,0.54817581176758
106,4111850153,0.843684,-0.091146,0.279345,-0.449287,-3.89997196197510,-4.03547096252441,8.24128341674805,0.08829978108406,0.48255601525307,0.65846407413483
107,4111866820,0.843658,-0.091204,0.279343,-0.449327,-3.85218930244446,-4.04029083251953,8.24019432067871,0.68017083406448,0.49396649003029,0.56621992588043
108,4111883487,0.843628,-0.091283,0.279367,-0.449350,-3.88349080085754,-4.01729106903076,8.26144886016846,0.43846377730370,0.57561981678009,0.63044375181198
109,4111900154,0.843635,-0.091237,0.279320,-0.449376,-3.86616039276123,-3.97420120239258,8.25423812866211,1.41286075115204,0.48693588376045,0.92808902263641
110,4111916821,0.843625,-0.091366,0.279402,-0.449317,-3.88316297531128,-3.98492932319641,8.24792766571045,-0.16068767011166,0.67552214860916,1.08818113803864
111,4111933488,0.843617,-0.091444,0.279415,-0.449308,-3.92354965209961,-4.07497406005859,8.25929546356201,0.42378771305084,0.44892656803131,0.89136034250259
112,4111950155,0.843634,-0.091350,0.279319,-0.449355,-3.91353392601013,-3.99475979804993,8.26099395751953,1.88950014114380,0.33815169334412,0.89775079488754
113,4111966822,0.843606,-0.091557,0.279351,-0.449347,-3.89992904663086,-3.98319745063782,8.27182483673096,-0.37192842364311,0.22504600882530,0.54466682672501
114,4111983489,0.843556,-0.091784,0.279408,-0.449358,-3.86933827400208,-4.08652114868164,8.21986579895020,-0.55167835950851,0.34445238113403,0.37306177616119
115,4112000156,0.843557,-0.091715,0.279337,-0.449416,-3.87990665435791,-4.05124711990356,8.21270847320557,1.66880810260773,0.43380224704742,0.77025067806244
116,4112016823,0.843537,-0.091749,0.279356,-0.449435,-3.86037397384644,-4.00365400314331,8.26464080810547,0.71497851610184,0.66779994964600,0.77295285463333
117,4112033490,0.843520,-0.091833,0.279422,-0.449408,-3.86836028099060,-4.03595876693726,8.23689746856689,0.19265875220299,0.74865931272507,0.97300088405609
118,4112050157,0.843499,-0.091819,0.279440,-0.449438,-3.90690922737122,-4.02857971191406,8.24728393554688,1.01238048076630,0.81151270866394,0.80948942899704
119,4112066824,0.843493,-0.091838,0.279453,-0.449438,-3.88032007217407,-3.98160386085510,8.23750114440918,0.78962671756744,0.63429856300354,0.95603239536285
120,4112083491,0.843465,-0.091881,0.279515,-0.449442,-3.89305233955383,-4.04788589477539,8.24558067321777,0.50030571222305,0.89223122596741,0.83393669128418
121,4112100158,0.843410,-0.091971,0.279588,-0.449481,-3.90727066993713,-4.02948760986328,8.27163600921631,0.23466353118420,0.88434243202209,0.48682057857513
122,4112116825,0.843358,-0.092098,0.279660,-0.449509,-3.90603256225586,-4.05659675598145,8.25165367126465,0.00913092680275,0.74693036079407,0.47955939173698
123,4112133492,0.843321,-0.092137,0.279681,-0.449557,-3.87070679664612,-4.06242704391479,8.25864315032959,0.71262210607529,0.70597559213638,0.55368250608444
124,4112150159,0.843291,-0.092205,0.279716,-0.449578,-3.88265204429626,-4.02789163589478,8.26136398315430,0.46766224503517,0.67238456010818,0.67157781124115
125,4112166826,0.843277,-0.092188,0.279721,-0.449606,-3.88638782501221,-4.04589176177979,8.23245716094971,1.08440315723419,0.74476605653763,0.81244760751724
126,4112183493,0.843251,-0.092206,0.279734,-0.449641,-3.88277959823608,-4.02310132980347,8.25351333618164,0.84553933143616,0.69648611545563,0.69839435815811
127,4112200160,0.843214,-0.092295,0.279797,-0.449654,-3.87999725341797,-4.04544925689697,8.26755332946777,0.24361519515514,0.78660446405411,0.66681385040283
128,4112216827,0.843163,-0.092351,0.279847,-0.449705,-3.90549945831299,-4.05454969406128,8.24982547760010,0.51637762784958,0.83711266517639,0.50455731153488
129,4112233494,0.843122,-0.092392,0.279888,-0.449750,-3.88832283020020,-4.03910160064697,8.22321510314941,0.64237928390503,0.82776403427124,0.54881608486176
130,4112250161,0.843093,-0.092489,0.279916,-0.449766,-3.88215541839600,-4.07964229583740,8.22666168212891,0.30326718091965,0.52772408723831,0.66943913698196
131,4112266828,0.843074,-0.092398,0.279897,-0.449832,-3.88511991500854,-4.02876138687134,8.24872112274170,1.64393818378448,0.85418349504471,0.72430151700974
132,4112283495,0.843068,-0.092467,0.279939,-0.449805,-3.89468717575073,-4.04372501373291,8.24999427795410,0.36238127946854,0.63431137800217,1.02179300785065
133,4112300162,0.843046,-0.092455,0.279943,-0.449845,-3.87048554420471,-4.05501222610474,8.24543190002441,1.06824159622192,0.74157726764679,0.71757817268372
134,4112316829,0.843031,-0.092474,0.279931,-0.449876,-3.90772318840027,-4.02829217910767,8.26444244384766,0.92131453752518,0.52659714221954,0.73581439256668
135,4112333496,0.843015,-0.092530,0.279942,-0.449889,-3.88399815559387,-4.01518964767456,8.24551963806152,0.59882491827011,0.53723913431168,0.77856200933456
136,4112350163,0.842988,-0.092680,0.279992,-0.449876,-3.88733100891113,-4.06695604324341,8.24692821502686,-0.12106482684612,0.47578147053719,0.72875809669495
137,4112366830,0.842954,-0.092719,0.279990,-0.449934,-3.87199163436890,-4.06768894195557,8.20360374450684,0.82083582878113,0.57953852415085,0.47984108328819
138,4112383497,0.842966,-0.092750,0.279991,-0.449904,-3.89511656761169,-4.08760261535645,8.21116352081299,0.70587319135666,0.46798247098923,1.15465891361237
139,4112400164,0.842979,-0.092646,0.279915,-0.449948,-3.85509371757507,-4.06578969955444,8.22561264038086,1.87671935558319,0.49043196439743,0.94599229097366
140,4112416831,0.842961,-0.092652,0.279926,-0.449974,-3.90051221847534,-4.01847457885742,8.24132251739502,0.92424714565277,0.71614396572113,0.76873964071274
141,4112433498,0.842942,-0.092700,0.279962,-0.449977,-3.87496519088745,-4.04066896438599,8.25589942932129,0.55675601959229,0.71294218301773,0.83821398019791
142,4112450165,0.842931,-0.092682,0.279977,-0.449991,-3.89150810241699,-4.02154064178467,8.24071693420410,1.02608311176300,0.78683495521545,0.92114794254303
143,4112466832,0.842891,-0.092810,0.280070,-0.449982,-3.86347746849060,-4.10233974456787,8.23496055603027,-0.12646910548210,0.82686752080917,0.73192125558853
144,4112483499,0.842860,-0.092786,0.280070,-0.450047,-3.89752936363220,-4.09003877639771,8.22705841064453,1.17699313163757,0.77062213420868,0.59471404552460
145,4112500166,0.842841,-0.092759,0.280047,-0.450101,-3.89237022399902,-4.02110004425049,8.27314186096191,1.27088928222656,0.63048225641251,0.66500806808472
