sep=,
DeviceTag:,E
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_12:04:07_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,4110066784,0.192182,-0.144947,0.244859,0.939202,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,4110083451,0.192069,-0.145131,0.244861,0.939196,-3.50880551338196,3.91226816177368,8.09296989440918,1.21438765525818,1.04479324817657,0.41975367069244
2,4110100118,0.191981,-0.145355,0.244901,0.939169,-3.54001951217651,3.93888521194458,8.09746360778809,1.39838910102844,1.40383195877075,0.36323928833008
3,4110116785,0.191916,-0.145486,0.244925,0.939156,-3.58442711830139,3.94201898574829,8.12794589996338,1.42503941059113,0.72787451744080,0.36047312617302
4,4110133452,0.191876,-0.145467,0.244816,0.939196,-3.57054853439331,3.91162967681885,8.10213947296143,0.71689951419830,-0.53647714853287,0.34824305772781
5,4110150119,0.191886,-0.145400,0.244760,0.939218,-3.54085135459900,3.89620256423950,8.11520481109619,1.12595975399017,-0.76425087451935,0.29814460873604
6,4110166786,0.191872,-0.145353,0.244703,0.939243,-3.54469966888428,3.92344641685486,8.10644721984863,1.13132560253143,-0.66268372535706,0.28086885809898
7,4110183453,0.191881,-0.145329,0.244629,0.939264,-3.55608558654785,3.88422131538391,8.09694099426270,1.01700341701508,-0.56953036785126,0.07254797220230
8,4110200120,0.191919,-0.145298,0.244577,0.939275,-3.52508950233459,3.90961122512817,8.11407279968262,1.19602346420288,-0.60757809877396,-0.04708254709840
9,4110216787,0.191962,-0.145261,0.244485,0.939296,-3.53856730461121,3.92483425140381,8.09714412689209,0.93529897928238,-0.72489708662033,-0.11678750813007
10,4110233454,0.191970,-0.145197,0.244416,0.939322,-3.56225228309631,3.90316200256348,8.09153175354004,1.15556824207306,-0.88744807243347,0.02778978087008
11,4110250121,0.191996,-0.145077,0.244339,0.939355,-3.55803203582764,3.95323276519775,8.12938404083252,1.14196777343750,-1.26304543018341,0.09407544136047
12,4110266788,0.191992,-0.144969,0.244292,0.939385,-3.54133582115173,3.89326047897339,8.10201358795166,1.31432867050171,-1.10464370250702,0.25252845883369
13,4110283455,0.192000,-0.144861,0.244343,0.939387,-3.54457402229309,3.89348459243774,8.11510086059570,1.88911592960358,-0.84818381071091,0.48698711395264
14,4110300122,0.191949,-0.144791,0.244386,0.939397,-3.52184128761292,3.91055083274841,8.11949539184570,1.82373929023743,-0.63357490301132,0.57583749294281
15,4110316789,0.191947,-0.144700,0.244376,0.939414,-3.53462791442871,3.93947434425354,8.10532665252686,1.48123371601105,-0.86114388704300,0.39930197596550
16,4110333456,0.191873,-0.144651,0.244387,0.939434,-3.51708221435547,3.91548466682434,8.09612941741943,1.52250862121582,-0.49093788862228,0.71688675880432
17,4110350123,0.191793,-0.144635,0.244423,0.939443,-3.54516553878784,3.93827676773071,8.10444068908691,1.67416143417358,-0.23659092187881,0.67434406280518
18,4110366790,0.191684,-0.144654,0.244438,0.939459,-3.54433941841125,3.89304947853088,8.11020660400391,1.49506449699402,-0.05287101864815,0.69663983583450
19,4110383457,0.191616,-0.144635,0.244490,0.939462,-3.53033185005188,3.90116906166077,8.15909671783447,1.78455197811127,-0.22912481427193,0.65092110633850
