sep=,
DeviceTag:,D
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:50:42_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3304171525,0.021558,-0.689397,-0.026802,-0.723566,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3304188192,0.021515,-0.689416,-0.026748,-0.723552,9.79510688781738,0.07506816834211,0.45871296525002,0.46736764907837,0.48264560103416,-0.03364868462086
2,3304204859,0.021500,-0.689459,-0.026714,-0.723512,9.83383846282959,0.05654143914580,0.49333950877190,0.85420906543732,0.23904334008694,0.02964670024812
3,3304221526,0.021539,-0.689506,-0.026785,-0.723464,9.80761623382568,0.03964305669069,0.50009489059448,1.47723817825317,0.17540858685970,-0.20613743364811
4,3304238193,0.021549,-0.689496,-0.026871,-0.723471,9.84371662139893,0.07633521407843,0.47479319572449,1.50378584861755,0.71421021223068,-0.43788114190102
5,3304254860,0.021567,-0.689472,-0.026948,-0.723490,9.88517761230469,0.13828578591347,0.42152765393257,1.43579673767090,0.84270912408829,-0.36265665292740
6,3304271527,0.021583,-0.689441,-0.026928,-0.723520,9.87548732757568,0.15702246129513,0.42548611760139,0.91876602172852,0.94240659475327,0.08096174895763
7,3304288194,0.021572,-0.689420,-0.026800,-0.723545,9.84456157684326,0.12798015773296,0.46190881729126,0.32377016544342,0.88037246465683,0.46825134754181
8,3304304861,0.021548,-0.689440,-0.026668,-0.723532,9.81082725524902,0.07718885689974,0.46536827087402,0.18922662734985,0.49671989679337,0.43425050377846
9,3304321528,0.021531,-0.689471,-0.026563,-0.723506,9.77622127532959,0.05229089409113,0.44235864281654,0.39104187488556,0.37448325753212,0.34271073341370
10,3304338195,0.021518,-0.689478,-0.026508,-0.723501,9.79088497161865,0.05431983992457,0.47860109806061,0.60739237070084,0.59098738431931,0.11813856661320
11,3304354862,0.021529,-0.689469,-0.026495,-0.723510,9.80560302734375,0.05210044234991,0.48279187083244,0.96022009849548,0.73389345407486,0.03523026779294
12,3304371529,0.021554,-0.689469,-0.026500,-0.723509,9.83241176605225,0.06111579388380,0.46310460567474,1.10353600978851,0.63947230577469,0.02148905768991
13,3304388196,0.021551,-0.689469,-0.026506,-0.723510,9.82747745513916,0.06924418359995,0.45571872591972,0.98083835840225,0.64431303739548,-0.12383099645376
14,3304404863,0.021520,-0.689476,-0.026502,-0.723504,9.82086753845215,0.09241595119238,0.46659749746323,0.86553001403809,0.57227742671967,-0.20498485863209
15,3304421530,0.021503,-0.689495,-0.026498,-0.723486,9.81539726257324,0.09643225371838,0.43467423319817,0.87834906578064,0.45750683546066,-0.14259229600430
16,3304438197,0.021480,-0.689525,-0.026464,-0.723460,9.84612369537354,0.08176642656326,0.43384867906570,0.78335160017014,0.37450888752937,-0.01495141070336
17,3304454864,0.021460,-0.689536,-0.026421,-0.723452,9.85195922851562,0.10022743046284,0.44081407785416,0.72579991817474,0.55082672834396,0.03368070349097
18,3304471531,0.021458,-0.689549,-0.026377,-0.723441,9.82400226593018,0.08670111000538,0.43137636780739,0.63265919685364,0.52981150150299,0.11534676700830
19,3304488198,0.021436,-0.689561,-0.026312,-0.723432,9.80824947357178,0.08020717650652,0.48672538995743,0.59559768438339,0.54010778665543,0.12507961690426
20,3304504865,0.021410,-0.689583,-0.026259,-0.723414,9.83345508575439,0.06279142946005,0.46935933828354,0.60574030876160,0.45384418964386,0.05063630640507
