sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:56:34_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3656111897,0.805575,-0.065052,0.314426,-0.497949,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3656128564,0.805578,-0.064952,0.314390,-0.497981,-4.36964416503906,-4.13357448577881,7.87825393676758,1.71749174594879,0.77715969085693,0.97632414102554
2,3656145231,0.805561,-0.065008,0.314422,-0.497981,-4.37152051925659,-4.13567495346069,7.92124652862549,0.50757324695587,0.62211322784424,0.82677149772644
3,3656161898,0.805544,-0.065005,0.314423,-0.498008,-4.38846492767334,-4.14213275909424,7.92553091049194,1.01100373268127,0.67315936088562,0.77111512422562
4,3656178565,0.805523,-0.065033,0.314429,-0.498035,-4.42960166931152,-4.14544391632080,7.93609952926636,0.79408967494965,0.58519256114960,0.73608976602554
5,3656195232,0.805495,-0.065077,0.314473,-0.498046,-4.37327957153320,-4.16663265228271,7.90766286849976,0.57379484176636,0.77334344387054,0.72621601819992
6,3656211899,0.805468,-0.065054,0.314480,-0.498088,-4.40484809875488,-4.18652629852295,7.89943599700928,1.13768410682678,0.81602704524994,0.68497961759567
7,3656228566,0.805425,-0.065023,0.314470,-0.498169,-4.39871406555176,-4.12771701812744,7.92682647705078,1.32543802261353,0.79812371730804,0.41650733351707
8,3656245233,0.805365,-0.065178,0.314546,-0.498196,-4.37748813629150,-4.15944719314575,7.89121866226196,-0.14263711869717,0.64380717277527,0.31424862146378
9,3656261900,0.805334,-0.065086,0.314507,-0.498284,-4.35734033584595,-4.11089468002319,7.88934803009033,1.78743958473206,0.83266240358353,0.53146976232529
10,3656278567,0.805296,-0.065215,0.314616,-0.498259,-4.38743352890015,-4.14216995239258,7.89723873138428,-0.19314536452293,0.86040097475052,0.72134965658188
11,3656295234,0.805289,-0.065207,0.314637,-0.498258,-4.39382266998291,-4.19865131378174,7.87822675704956,0.92685323953629,0.77818435430527,0.95806235074997
12,3656311901,0.805274,-0.065184,0.314655,-0.498275,-4.40616750717163,-4.16455936431885,7.92288732528687,1.06202399730682,0.85106515884399,0.85302442312241
13,3656328568,0.805261,-0.065205,0.314687,-0.498273,-4.39294624328613,-4.13591146469116,7.91495513916016,0.72779130935669,0.76048588752747,0.87844520807266
14,3656345235,0.805261,-0.065231,0.314710,-0.498255,-4.37903022766113,-4.16143655776978,7.90079450607300,0.68521016836166,0.63313955068588,1.02769041061401
15,3656361902,0.805257,-0.065246,0.314710,-0.498259,-4.37486648559570,-4.14555788040161,7.89293575286865,0.86626631021500,0.56174415349960,0.92372834682465
16,3656378569,0.805259,-0.065229,0.314708,-0.498259,-4.36357021331787,-4.13293647766113,7.88618707656860,1.05837428569794,0.66176170110703,0.99922192096710
17,3656395236,0.805249,-0.065290,0.314784,-0.498219,-4.36538171768188,-4.17687368392944,7.87929058074951,0.26982340216637,0.83496761322021,1.04190540313721
18,3656411903,0.805240,-0.065352,0.314826,-0.498199,-4.39968204498291,-4.21484804153442,7.89408588409424,0.41910701990128,0.65255397558212,0.92425352334976
19,3656428570,0.805225,-0.065277,0.314786,-0.498258,-4.40053462982178,-4.14947557449341,7.90392446517944,1.62399208545685,0.70593076944351,0.72503775358200
20,3656445237,0.805195,-0.065396,0.314872,-0.498238,-4.39870023727417,-4.16249847412109,7.90491724014282,-0.04935567453504,0.74442672729492,0.74720567464828
21,3656461904,0.805164,-0.065386,0.314885,-0.498280,-4.38610649108887,-4.16051101684570,7.92103719711304,1.03776895999908,0.80985432863235,0.65060734748840
22,3656478571,0.805141,-0.065441,0.314918,-0.498290,-4.38710260391235,-4.16089582443237,7.88026189804077,0.53511971235275,0.64503669738770,0.75529927015305
23,3656495238,0.805127,-0.065408,0.314930,-0.498309,-4.34285306930542,-4.15570545196533,7.88362026214600,1.14283227920532,0.85014307498932,0.85430520772934
24,3656511905,0.805129,-0.065376,0.314962,-0.498290,-4.38561773300171,-4.15154838562012,7.86984777450562,0.96391481161118,0.87202924489975,1.18785941600800
25,3656528572,0.805121,-0.065361,0.314965,-0.498303,-4.39524173736572,-4.13248109817505,7.92782402038574,1.05117726325989,0.70956784486771,0.89016294479370
26,3656545239,0.805107,-0.065404,0.315004,-0.498295,-4.38290834426880,-4.15535640716553,7.92112636566162,0.55087149143219,0.70586681365967,0.90162467956543
27,3656561906,0.805113,-0.065391,0.315013,-0.498281,-4.37868595123291,-4.18008852005005,7.91746711730957,0.96328717470169,0.68985885381699,1.09679341316223
28,3656578573,0.805110,-0.065401,0.315019,-0.498281,-4.41532802581787,-4.18757438659668,7.90532207489014,0.89120030403137,0.63459950685501,0.90982079505920
29,3656595240,0.805116,-0.065362,0.314971,-0.498307,-4.39410257339478,-4.14777851104736,7.89983034133911,1.39153158664703,0.47612085938454,0.91245877742767
30,3656611907,0.805124,-0.065401,0.314973,-0.498288,-4.35934400558472,-4.13651847839355,7.87044715881348,0.71169376373291,0.48222956061363,0.97702848911285
31,3656628574,0.805146,-0.065391,0.314983,-0.498247,-4.35291147232056,-4.15992927551270,7.86862468719482,0.89600276947021,0.64364081621170,1.29159092903137
32,3656645241,0.805162,-0.065362,0.314963,-0.498238,-4.39379358291626,-4.17522287368774,7.90929317474365,1.17557811737061,0.57124650478363,1.10470771789551
33,3656661908,0.805158,-0.065362,0.314948,-0.498254,-4.42018032073975,-4.14369010925293,7.92546463012695,1.05250906944275,0.56388282775879,0.82504260540009
34,3656678575,0.805147,-0.065447,0.314969,-0.498247,-4.40855216979980,-4.16722536087036,7.90521049499512,0.39614522457123,0.46877002716064,0.78630346059799
35,3656695242,0.805163,-0.065444,0.314912,-0.498258,-4.35784053802490,-4.14514112472534,7.90401411056519,1.20414900779724,0.28037583827972,0.92983710765839
36,3656711909,0.805175,-0.065454,0.314885,-0.498253,-4.38534736633301,-4.12661552429199,7.90520286560059,0.97196996212006,0.39614525437355,1.00889062881470
37,3656728576,0.805191,-0.065553,0.314907,-0.498200,-4.37254810333252,-4.15217924118042,7.87322998046875,0.24090664088726,0.35968554019928,1.07493293285370
38,3656745243,0.805215,-0.065576,0.314867,-0.498184,-4.36646842956543,-4.16991567611694,7.85105752944946,0.93504929542542,0.24812944233418,1.07102704048157
39,3656761910,0.805247,-0.065516,0.314803,-0.498180,-4.37553930282593,-4.13311100006104,7.87610673904419,1.51789176464081,0.40400832891464,1.18678355216980
40,3656778577,0.805261,-0.065608,0.314852,-0.498116,-4.40231323242188,-4.16554784774780,7.92955398559570,0.13676540553570,0.50426918268204,1.20478951931000
41,3656795244,0.805274,-0.065640,0.314837,-0.498099,-4.39760971069336,-4.22392416000366,7.92198085784912,0.79939162731171,0.39373767375946,1.01661300659180
42,3656811911,0.805274,-0.065573,0.314765,-0.498153,-4.39470195770264,-4.17680883407593,7.89019727706909,1.67996895313263,0.46111178398132,0.79314202070236
43,3656828578,0.805278,-0.065566,0.314728,-0.498173,-4.39181756973267,-4.15097141265869,7.89103746414185,1.16978955268860,0.43839329481125,0.85162860155106
44,3656845245,0.805283,-0.065535,0.314708,-0.498180,-4.35054397583008,-4.15131711959839,7.88065338134766,1.22004187107086,0.61088210344315,0.98084473609924
45,3656861912,0.805287,-0.065513,0.314691,-0.498188,-4.37368345260620,-4.14552879333496,7.88363456726074,1.15314137935638,0.60236597061157,0.96609187126160
46,3656878579,0.805292,-0.065475,0.314659,-0.498204,-4.35960006713867,-4.12406063079834,7.91428661346436,1.31421971321106,0.56627762317657,0.95845931768417
47,3656895246,0.805290,-0.065516,0.314701,-0.498176,-4.38885211944580,-4.17058706283569,7.90151119232178,0.51664018630981,0.69080650806427,1.05332875251770
48,3656911913,0.805303,-0.065432,0.314679,-0.498181,-4.38063192367554,-4.13411617279053,7.92344141006470,1.51769971847534,0.76185613870621,1.13923370838165
49,3656928580,0.805311,-0.065461,0.314718,-0.498139,-4.37597990036011,-4.18905925750732,7.89694976806641,0.57513958215714,0.70655840635300,1.16240048408508
50,3656945247,0.805306,-0.065445,0.314715,-0.498150,-4.38895177841187,-4.20204973220825,7.89524841308594,1.07354998588562,0.66685867309570,0.91838818788528
51,3656961914,0.805271,-0.065440,0.314706,-0.498213,-4.40258502960205,-4.13655614852905,7.90845489501953,1.13197255134583,0.68602973222733,0.50674086809158
52,3656978581,0.805226,-0.065541,0.314773,-0.498230,-4.38819932937622,-4.15990114212036,7.88569498062134,0.20540744066238,0.76466071605682,0.48166596889496
53,3656995248,0.805189,-0.065568,0.314793,-0.498274,-4.38043451309204,-4.17891502380371,7.90454339981079,0.82161062955856,0.73920178413391,0.54094666242599
54,3657011915,0.805168,-0.065588,0.314817,-0.498290,-4.38890218734741,-4.15326786041260,7.88774347305298,0.79251462221146,0.74353027343750,0.74716728925705
55,3657028582,0.805150,-0.065655,0.314852,-0.498289,-4.40103626251221,-4.14765930175781,7.92042875289917,0.46018981933594,0.62420070171356,0.76646649837494
56,3657045249,0.805142,-0.065720,0.314868,-0.498282,-4.38280725479126,-4.17178916931152,7.89926528930664,0.50658714771271,0.48773619532585,0.86362814903259
57,3657061916,0.805139,-0.065771,0.314888,-0.498268,-4.37752819061279,-4.16643476486206,7.89734220504761,0.56830096244812,0.54637658596039,0.92887657880783
58,3657078583,0.805129,-0.065791,0.314890,-0.498281,-4.39229488372803,-4.16521167755127,7.89909458160400,0.86954480409622,0.60122615098953,0.80187600851059
59,3657095250,0.805100,-0.065865,0.314949,-0.498280,-4.37217569351196,-4.18204879760742,7.87333059310913,0.32462173700333,0.74685984849930,0.73173552751541
