sep=,
DeviceTag:,B
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:56:34_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3656095230,0.109420,-0.683760,0.097673,-0.714803,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3656111897,0.109514,-0.683728,0.097510,-0.714842,9.60396289825439,-2.90081453323364,0.39646276831627,4.32618999481201,3.57528972625732,0.91956001520157
2,3656128564,0.109706,-0.683677,0.097280,-0.714893,9.59599494934082,-2.89744973182678,0.43169420957565,5.29395341873169,3.55581164360046,1.10043692588806
3,3656145231,0.109936,-0.683625,0.097065,-0.714936,9.67077159881592,-2.89401125907898,0.41775658726692,5.32828760147095,3.53001976013184,1.36153292655945
4,3656161898,0.110077,-0.683567,0.096893,-0.714993,9.62302875518799,-2.87445497512817,0.39143469929695,4.61278343200684,3.74645948410034,1.11575329303741
5,3656178565,0.110122,-0.683562,0.096762,-0.715008,9.58591270446777,-2.85020422935486,0.42117714881897,3.61635971069336,3.47846126556396,0.82420396804810
6,3656195232,0.110045,-0.683574,0.096808,-0.715003,9.63331127166748,-2.88326430320740,0.42196398973465,2.36996889114380,3.44250082969666,1.06746053695679
7,3656211899,0.109898,-0.683640,0.096926,-0.714946,9.67590618133545,-2.91659283638000,0.45715656876564,1.89117753505707,2.94228458404541,1.07281339168549
8,3656228566,0.109680,-0.683710,0.097071,-0.714893,9.64372158050537,-2.96111083030701,0.45750531554222,1.35976552963257,3.02941918373108,0.84775483608246
9,3656245233,0.109479,-0.683786,0.097150,-0.714840,9.62793731689453,-2.96385836601257,0.44359710812569,1.67250943183899,2.97244358062744,0.61003053188324
10,3656261900,0.109336,-0.683880,0.097102,-0.714779,9.63901233673096,-2.98067402839661,0.48073440790176,2.58596038818359,2.69504523277283,0.29749149084091
