sep=,
DeviceTag:,E
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-03-14_11:56:34_000 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3656111897,0.392824,-0.093095,0.299754,0.864390,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3656128564,0.392783,-0.093064,0.299769,0.864407,-3.80839753150940,4.31629133224487,7.74464464187622,1.61094295978546,-0.38470277190208,0.46973058581352
2,3656145231,0.392743,-0.093035,0.299822,0.864410,-3.80618166923523,4.28925848007202,7.72878026962280,1.81987833976746,-0.22790177166462,0.52998435497284
3,3656161898,0.392740,-0.093044,0.299846,0.864402,-3.80659127235413,4.31944561004639,7.75160169601440,1.55596494674683,-0.09864730387926,0.26061561703682
4,3656178565,0.392734,-0.093064,0.299905,0.864382,-3.83883905410767,4.31637048721313,7.77123260498047,1.75836956501007,0.06949365884066,0.23586094379425
5,3656195232,0.392721,-0.093055,0.299948,0.864374,-3.84200572967529,4.35282468795776,7.78731727600098,1.75547528266907,-0.19122444093227,0.27119371294975
6,3656211899,0.392687,-0.093024,0.299981,0.864381,-3.82094359397888,4.29215812683105,7.76918268203735,1.69049572944641,-0.28933385014534,0.52623212337494
7,3656228566,0.392666,-0.093007,0.300054,0.864367,-3.80801582336426,4.28634166717529,7.77914762496948,1.93452072143555,-0.10063229501247,0.38583609461784
8,3656245233,0.392665,-0.093005,0.300059,0.864366,-3.80539608001709,4.31991767883301,7.73378086090088,1.49695348739624,-0.26752462983131,0.20562516152859
9,3656261900,0.392659,-0.093016,0.300046,0.864372,-3.82431173324585,4.33668756484985,7.73585081100464,1.31518030166626,-0.21444234251976,0.25065228343010
10,3656278567,0.392637,-0.093028,0.300046,0.864381,-3.82136464118958,4.30982208251953,7.76337909698486,1.40451717376709,-0.17693252861500,0.28662532567978
11,3656295234,0.392629,-0.093053,0.300046,0.864382,-3.82632279396057,4.32770061492920,7.78978109359741,1.36346018314362,-0.07819557934999,0.24167503416538
