sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_265 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
1,583930431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,583947098,1.000000,0.000218,-0.000583,0.000131,0.018725,-0.158255,-0.034556,0
3,583963765,1.000000,0.000244,-0.000642,0.000094,0.018330,-0.157541,-0.034733,0
4,583980432,1.000000,0.000288,-0.000712,0.000073,0.017301,-0.156985,-0.035081,0
5,583997099,1.000000,0.000245,-0.000772,0.000089,0.016503,-0.156750,-0.035230,0
6,584013766,1.000000,0.000178,-0.000725,0.000117,0.016033,-0.157434,-0.034434,0
7,584030433,1.000000,0.000162,-0.000648,0.000173,0.016277,-0.158409,-0.034087,0
8,584047100,1.000000,0.000160,-0.000553,0.000169,0.015918,-0.158636,-0.033925,0
9,584063767,1.000000,0.000108,-0.000533,0.000149,0.015923,-0.158666,-0.033821,0
10,584080434,1.000000,0.000064,-0.000549,0.000086,0.015520,-0.158256,-0.034230,0
11,584097101,1.000000,0.000076,-0.000499,0.000024,0.015485,-0.158095,-0.034303,0
12,584113768,1.000000,0.000103,-0.000324,-0.000004,0.014837,-0.157682,-0.035113,0
13,584130435,1.000000,0.000100,-0.000035,0.000014,0.014229,-0.157380,-0.035743,0
14,584147102,1.000000,0.000093,0.000327,0.000056,0.014192,-0.157298,-0.035211,0
15,584163769,1.000000,0.000138,0.000703,0.000114,0.014687,-0.157200,-0.035131,0
16,584180436,0.999999,0.000230,0.000994,0.000116,0.015593,-0.157057,-0.034585,0
17,584197103,0.999999,0.000299,0.001169,0.000099,0.015755,-0.156957,-0.034473,0
18,584213770,0.999999,0.000338,0.001237,0.000086,0.016131,-0.156400,-0.034785,0
19,584230437,0.999999,0.000326,0.001305,0.000081,0.016752,-0.156064,-0.034684,0
20,584247104,0.999999,0.000348,0.001379,0.000122,0.017142,-0.156528,-0.033929,0
21,584263771,0.999999,0.000367,0.001415,0.000178,0.017339,-0.156494,-0.033744,0
22,584280438,0.999999,0.000380,0.001290,0.000239,0.017651,-0.156638,-0.033073,0
23,584297105,0.999999,0.000313,0.000904,0.000301,0.017411,-0.156522,-0.032977,0
24,584313772,1.000000,0.000228,0.000621,0.000248,0.018950,-0.157170,-0.031979,0
25,584330439,1.000000,0.000194,0.000657,0.000213,0.021471,-0.157282,-0.031227,0
26,584347106,1.000000,0.000339,0.000859,0.000153,0.021271,-0.157160,-0.031832,0
27,584363773,1.000000,0.000298,0.000874,0.000107,0.020300,-0.156750,-0.032387,0
28,584380440,1.000000,0.000249,0.000685,0.000076,0.019542,-0.156458,-0.032428,0
29,584397107,1.000000,0.000281,0.000582,0.000070,0.020149,-0.156626,-0.031764,0
30,584413774,1.000000,0.000303,0.000520,0.000101,0.019662,-0.156578,-0.031947,0
31,584430441,1.000000,0.000309,0.000420,0.000111,0.019730,-0.156438,-0.032465,0
32,584447108,1.000000,0.000286,0.000289,0.000100,0.020114,-0.156855,-0.032901,0
33,584463775,1.000000,0.000303,0.000227,0.000064,0.019607,-0.157301,-0.033187,0
34,584480442,1.000000,0.000327,0.000270,0.000082,0.019569,-0.157188,-0.033048,0
35,584497109,1.000000,0.000382,0.000300,0.000059,0.019812,-0.157159,-0.033049,0
36,584513776,1.000000,0.000443,0.000303,0.000028,0.019737,-0.156527,-0.033939,0
37,584530443,1.000000,0.000459,0.000354,0.000012,0.019814,-0.156402,-0.033881,0
38,584547110,1.000000,0.000425,0.000464,0.000013,0.019404,-0.156875,-0.034053,0
39,584563777,1.000000,0.000406,0.000612,0.000065,0.019449,-0.157973,-0.033539,0
40,584580444,1.000000,0.000447,0.000691,0.000107,0.019498,-0.158256,-0.033332,0
41,584597111,1.000000,0.000525,0.000672,0.000127,0.020366,-0.158300,-0.033156,0
42,584613778,1.000000,0.000727,0.000541,0.000089,0.021414,-0.158029,-0.033086,0
43,584630445,1.000000,0.000593,0.000619,-0.000067,0.020872,-0.156251,-0.032947,0
44,584647112,1.000000,0.000635,0.000673,-0.000020,0.021329,-0.157056,-0.032450,0
45,584663779,1.000000,0.000621,0.000712,-0.000005,0.019579,-0.155726,-0.033360,0
46,584680446,1.000000,0.000464,0.000434,-0.000004,0.019153,-0.156406,-0.032226,0
47,584697113,1.000000,0.000501,0.000389,0.000029,0.020333,-0.157446,-0.031620,0
48,584713780,1.000000,0.000465,0.000401,0.000086,0.020513,-0.157668,-0.031690,0
49,584730447,1.000000,0.000537,0.000339,0.000106,0.020410,-0.157325,-0.031603,0
50,584747114,1.000000,0.000508,0.000042,0.000036,0.019618,-0.157415,-0.031702,0
51,584763781,1.000000,0.000420,-0.000265,0.000013,0.019597,-0.157491,-0.031748,0
52,584780448,1.000000,0.000435,-0.000222,-0.000006,0.020758,-0.157441,-0.032410,0
53,584797115,1.000000,0.000456,-0.000115,-0.000053,0.019724,-0.157459,-0.032563,0
54,584813782,1.000000,0.000461,-0.000193,0.000004,0.018557,-0.156915,-0.033093,0
55,584830449,1.000000,0.000543,-0.000167,-0.000051,0.019441,-0.156661,-0.032061,0
56,584847116,1.000000,0.000679,-0.000088,-0.000058,0.020068,-0.156100,-0.031530,0
57,584863783,1.000000,0.000803,0.000029,-0.000110,0.019507,-0.154747,-0.032799,0
58,584880450,1.000000,0.000755,0.000222,-0.000241,0.020673,-0.154159,-0.034383,0
59,584897117,1.000000,0.000594,0.000413,-0.000331,0.020499,-0.153838,-0.035072,0
60,584913784,1.000000,0.000647,0.000625,-0.000357,0.018926,-0.154461,-0.033811,0
61,584930451,1.000000,0.000692,0.000577,-0.000238,0.016910,-0.154095,-0.031998,0
62,584947118,1.000000,0.000800,0.000517,-0.000158,0.017182,-0.154003,-0.031816,0
63,584963785,0.999999,0.000841,0.000549,0.000010,0.017306,-0.154650,-0.031283,0
64,584980452,0.999999,0.001053,0.000563,0.000296,0.016344,-0.155923,-0.030337,0
65,584997119,0.999999,0.001360,-0.000095,0.000714,0.012571,-0.155308,-0.028722,0
66,585013786,0.999998,0.001534,-0.000731,0.000966,0.015789,-0.154921,-0.025979,0
67,585030453,0.999997,0.001920,-0.001061,0.001109,0.016348,-0.154737,-0.025521,0
68,585047120,0.999996,0.001974,-0.001420,0.001352,0.016219,-0.154580,-0.027866,0
69,585063787,0.999996,0.001656,-0.001959,0.001434,0.018112,-0.154917,-0.030396,0
70,585080454,0.999997,0.001195,-0.001896,0.001349,0.023401,-0.158594,-0.037038,0
71,585097121,0.999998,0.000746,-0.001527,0.001376,0.028727,-0.160092,-0.041023,0
72,585113788,0.999998,0.000576,-0.001142,0.001311,0.031771,-0.161642,-0.040451,0
73,585130455,0.999998,0.000872,-0.001188,0.001262,0.030116,-0.164626,-0.034612,0
74,585147122,0.999997,0.001374,-0.001916,0.001090,0.025067,-0.164976,-0.035517,0
75,585163789,0.999992,0.000903,-0.003720,0.000853,0.019519,-0.160493,-0.041924,0
76,585180456,0.999986,0.000440,-0.005119,0.000837,0.019374,-0.160907,-0.037289,0
77,585197123,0.999987,0.001404,-0.004835,0.000899,0.023639,-0.164169,-0.025403,0
78,585213790,0.999989,0.002647,-0.003731,0.001182,0.022643,-0.163488,-0.021434,0
79,585230457,0.999989,0.003372,-0.002851,0.001471,0.021586,-0.160862,-0.022257,0
80,585247124,0.999988,0.003220,-0.003267,0.001535,0.019298,-0.159194,-0.024066,0
81,585263791,0.999986,0.002691,-0.004258,0.001411,0.020904,-0.158522,-0.023955,0
82,585280458,0.999987,0.002171,-0.004590,0.000997,0.023476,-0.155980,-0.021453,0
83,585297125,0.999990,0.001434,-0.004275,0.000580,0.026232,-0.154829,-0.020224,0
84,585313792,0.999994,0.000898,-0.003406,0.000141,0.025696,-0.154962,-0.018848,0
85,585330459,0.999996,0.000656,-0.002805,-0.000116,0.022650,-0.156235,-0.017258,0
86,585347126,0.999996,0.000552,-0.002776,-0.000220,0.019477,-0.157514,-0.015480,0
87,585363793,0.999995,0.000488,-0.003142,-0.000298,0.018632,-0.159016,-0.013765,0
88,585380460,0.999994,0.000538,-0.003375,-0.000400,0.019603,-0.161391,-0.012913,0
89,585397127,0.999994,0.000626,-0.003352,-0.000557,0.020355,-0.163483,-0.012980,0
90,585413794,0.999995,0.000662,-0.003090,-0.000747,0.021027,-0.165498,-0.013058,0
