sep=,
DeviceTag:,B
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_281 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
1,583947098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,583963765,1.000000,-0.000076,0.000675,0.000219,-0.150605,0.035473,0.021612,0
3,583980432,1.000000,-0.000007,0.000628,0.000250,-0.150670,0.035739,0.020749,0
4,583997099,1.000000,-0.000013,0.000604,0.000275,-0.151207,0.036407,0.020591,0
5,584013766,1.000000,-0.000053,0.000584,0.000288,-0.151701,0.035671,0.021034,0
6,584030433,1.000000,-0.000040,0.000579,0.000298,-0.152232,0.034559,0.020391,0
7,584047100,1.000000,0.000033,0.000586,0.000298,-0.152626,0.033943,0.020881,0
8,584063767,1.000000,0.000129,0.000583,0.000303,-0.152466,0.033400,0.021017,0
9,584080434,1.000000,0.000225,0.000585,0.000275,-0.152001,0.032604,0.020973,0
10,584097101,1.000000,0.000384,0.000511,0.000246,-0.151772,0.032479,0.020238,0
11,584113768,1.000000,0.000508,0.000406,0.000230,-0.151684,0.032818,0.020451,0
12,584130435,1.000000,0.000620,0.000379,0.000215,-0.152028,0.032962,0.020679,0
13,584147102,1.000000,0.000818,0.000386,0.000239,-0.151586,0.033036,0.020991,0
14,584163769,0.999999,0.000952,0.000367,0.000239,-0.151340,0.033458,0.021282,0
15,584180436,0.999999,0.001016,0.000331,0.000204,-0.150728,0.034223,0.021908,0
16,584197103,0.999999,0.001092,0.000295,0.000147,-0.150837,0.034569,0.022180,0
17,584213770,0.999999,0.001164,0.000295,0.000127,-0.150516,0.035266,0.022295,0
18,584230437,0.999999,0.001164,0.000323,0.000114,-0.150108,0.036178,0.022951,0
19,584247104,0.999999,0.001175,0.000343,0.000124,-0.150094,0.036792,0.022349,0
20,584263771,0.999999,0.001124,0.000377,0.000141,-0.150295,0.037416,0.022291,0
21,584280438,0.999999,0.001073,0.000418,0.000168,-0.150499,0.037526,0.022441,0
22,584297105,0.999999,0.001046,0.000433,0.000197,-0.150346,0.037547,0.021821,0
23,584313772,0.999999,0.001049,0.000454,0.000214,-0.150220,0.037574,0.021857,0
24,584330439,0.999999,0.001044,0.000479,0.000208,-0.149646,0.037456,0.022391,0
25,584347106,0.999999,0.001042,0.000506,0.000200,-0.149615,0.037135,0.022240,0
26,584363773,0.999999,0.001040,0.000548,0.000205,-0.149459,0.037238,0.022412,0
27,584380440,0.999999,0.001028,0.000584,0.000241,-0.149395,0.038052,0.022535,0
28,584397107,0.999999,0.000995,0.000597,0.000285,-0.149723,0.038498,0.022510,0
29,584413774,0.999999,0.000949,0.000630,0.000312,-0.149848,0.038638,0.023202,0
30,584430441,0.999999,0.000862,0.000686,0.000298,-0.149814,0.038591,0.023232,0
31,584447108,0.999999,0.000773,0.000722,0.000276,-0.149611,0.038772,0.022589,0
32,584463775,0.999999,0.000738,0.000711,0.000262,-0.150173,0.039113,0.023260,0
33,584480442,0.999999,0.000644,0.000761,0.000216,-0.149967,0.039277,0.023580,0
34,584497109,1.000000,0.000511,0.000831,0.000162,-0.150029,0.038654,0.023056,0
35,584513776,1.000000,0.000435,0.000817,0.000107,-0.149677,0.038064,0.022792,0
36,584530443,1.000000,0.000387,0.000792,0.000081,-0.150196,0.038669,0.021871,0
37,584547110,1.000000,0.000399,0.000749,0.000082,-0.150973,0.038640,0.022217,0
38,584563777,1.000000,0.000488,0.000762,0.000070,-0.151605,0.038422,0.022627,0
39,584580444,1.000000,0.000465,0.000801,0.000100,-0.151539,0.038823,0.022659,0
40,584597111,1.000000,0.000292,0.000831,0.000074,-0.150506,0.039010,0.023007,0
41,584613778,1.000000,0.000199,0.000884,-0.000005,-0.150194,0.038282,0.022479,0
42,584630445,1.000000,0.000195,0.000874,-0.000032,-0.149926,0.038033,0.021993,0
43,584647112,1.000000,0.000167,0.000858,-0.000045,-0.149886,0.038984,0.021659,0
44,584663779,1.000000,0.000068,0.000942,-0.000049,-0.149733,0.039323,0.022431,0
45,584680446,0.999999,-0.000013,0.001009,-0.000029,-0.150489,0.038837,0.022299,0
46,584697113,0.999999,-0.000063,0.001027,-0.000008,-0.150893,0.038651,0.022055,0
47,584713780,0.999999,-0.000127,0.001065,-0.000006,-0.150812,0.038436,0.022505,0
48,584730447,0.999999,-0.000244,0.001136,-0.000046,-0.150489,0.037554,0.021601,0
49,584747114,0.999999,-0.000266,0.001136,-0.000072,-0.150724,0.036703,0.021284,0
50,584763781,0.999999,-0.000323,0.001135,-0.000099,-0.150643,0.036522,0.021372,0
51,584780448,0.999999,-0.000315,0.001159,-0.000130,-0.150933,0.035494,0.021354,0
52,584797115,0.999999,-0.000260,0.001164,-0.000109,-0.150833,0.034600,0.021276,0
53,584813782,0.999999,-0.000240,0.001153,-0.000098,-0.150607,0.033710,0.021039,0
54,584830449,0.999999,-0.000182,0.001121,-0.000088,-0.149885,0.032541,0.021476,0
55,584847116,0.999999,-0.000065,0.001138,-0.000068,-0.148997,0.031393,0.021949,0
56,584863783,0.999999,0.000100,0.001148,-0.000063,-0.148353,0.030812,0.021594,0
57,584880450,0.999999,0.000248,0.001127,-0.000054,-0.148368,0.030773,0.022321,0
58,584897117,0.999999,0.000432,0.001131,-0.000027,-0.148000,0.031318,0.022328,0
59,584913784,0.999999,0.000649,0.001199,0.000021,-0.148329,0.031996,0.022149,0
60,584930451,0.999999,0.000859,0.001228,0.000117,-0.149076,0.033588,0.022590,0
61,584947118,0.999999,0.000988,0.001262,0.000224,-0.149717,0.035612,0.023457,0
62,584963785,0.999999,0.001019,0.001307,0.000283,-0.150090,0.037707,0.024250,0
63,584980452,0.999998,0.000966,0.001405,0.000339,-0.150117,0.039195,0.024702,0
64,584997119,0.999998,0.000877,0.001517,0.000373,-0.149464,0.040405,0.025256,0
65,585013786,0.999998,0.000746,0.001661,0.000375,-0.149052,0.041413,0.026405,0
66,585030453,0.999998,0.000514,0.001775,0.000382,-0.148687,0.042204,0.027085,0
67,585047120,0.999998,0.000218,0.001889,0.000350,-0.148895,0.042795,0.026896,0
68,585063787,0.999998,-0.000159,0.001982,0.000377,-0.152251,0.043883,0.025448,0
69,585080454,0.999998,-0.000481,0.002080,0.000301,-0.152914,0.045700,0.023623,0
70,585097121,0.999997,-0.000820,0.002348,0.000148,-0.151756,0.042893,0.023183,0
71,585113788,0.999996,-0.000932,0.002585,0.000079,-0.151159,0.038962,0.022192,0
72,585130455,0.999996,-0.000879,0.002495,0.000142,-0.154079,0.039473,0.019303,0
73,585147122,0.999997,-0.000775,0.002106,0.000110,-0.156646,0.043093,0.017481,0
74,585163789,0.999998,-0.000919,0.001846,0.000018,-0.156618,0.044619,0.016753,0
75,585180456,0.999998,-0.001204,0.001728,-0.000035,-0.155173,0.044382,0.015422,0
76,585197123,0.999997,-0.001551,0.001671,-0.000021,-0.153147,0.044774,0.014034,0
77,585213790,0.999996,-0.002100,0.001623,0.000040,-0.152514,0.044162,0.012855,0
78,585230457,0.999996,-0.002521,0.001541,0.000085,-0.152559,0.040555,0.012001,0
79,585247124,0.999996,-0.002523,0.001387,0.000141,-0.151942,0.035818,0.009662,0
80,585263791,0.999997,-0.002219,0.001353,0.000287,-0.149402,0.034431,0.007869,0
81,585280458,0.999997,-0.002014,0.001442,0.000405,-0.147752,0.036147,0.006927,0
82,585297125,0.999997,-0.002074,0.001592,0.000399,-0.146388,0.037706,0.006384,0
83,585313792,0.999996,-0.002401,0.001694,0.000361,-0.146204,0.037894,0.005316,0
84,585330459,0.999994,-0.002829,0.001713,0.000367,-0.147425,0.037460,0.004233,0
85,585347126,0.999993,-0.003172,0.001719,0.000478,-0.148342,0.036235,0.003888,0
86,585363793,0.999993,-0.003394,0.001704,0.000703,-0.149956,0.034167,0.003227,0
87,585380460,0.999992,-0.003418,0.001625,0.000984,-0.151891,0.032445,0.002490,0
88,585397127,0.999992,-0.003333,0.001540,0.001256,-0.153609,0.031589,0.002872,0
89,585413794,0.999993,-0.003168,0.001442,0.001422,-0.155486,0.030964,0.002688,0
90,585430461,0.999994,-0.002857,0.001391,0.001491,-0.155930,0.030998,0.002263,0
91,585447128,0.999995,-0.002608,0.001449,0.001435,-0.156489,0.032157,0.002986,0
92,585463795,0.999995,-0.002446,0.001525,0.001282,-0.156518,0.033738,0.003242,0
93,585480462,0.999995,-0.002323,0.001562,0.001087,-0.155485,0.034244,0.003560,0
94,585497129,0.999996,-0.002230,0.001582,0.000977,-0.154882,0.034219,0.002779,0
95,585513796,0.999996,-0.002188,0.001499,0.000951,-0.156041,0.035405,0.002432,0
96,585530463,0.999996,-0.002089,0.001440,0.000910,-0.155137,0.035648,0.002444,0
97,585547130,0.999996,-0.002019,0.001520,0.000905,-0.153157,0.035444,0.002730,0
98,585563797,0.999997,-0.001843,0.001524,0.000952,-0.151918,0.035314,0.002235,0
99,585580464,0.999997,-0.001646,0.001482,0.000993,-0.151145,0.036232,0.001869,0
100,585597131,0.999997,-0.001659,0.001453,0.000971,-0.150859,0.037568,0.002261,0
101,585613798,0.999997,-0.001766,0.001449,0.000938,-0.151132,0.037549,0.002502,0
102,585630465,0.999997,-0.001871,0.001462,0.000957,-0.152252,0.037578,0.001902,0
103,585647132,0.999997,-0.001918,0.001463,0.000966,-0.153485,0.037424,0.001943,0
104,585663799,0.999997,-0.001849,0.001427,0.000953,-0.154965,0.036782,0.001658,0
105,585680466,0.999997,-0.001682,0.001369,0.000919,-0.155979,0.036808,0.001852,0
106,585697133,0.999998,-0.001559,0.001349,0.000806,-0.155561,0.037468,0.002215,0
107,585713800,0.999998,-0.001556,0.001388,0.000638,-0.154338,0.037457,0.002589,0
108,585730467,0.999998,-0.001610,0.001404,0.000487,-0.154377,0.037230,0.001821,0
109,585747134,0.999998,-0.001658,0.001267,0.000338,-0.154205,0.036589,0.000759,0
110,585763801,0.999998,-0.001701,0.001125,0.000267,-0.154064,0.036518,0.000186,0
111,585780468,0.999998,-0.001735,0.001050,0.000284,-0.154834,0.036213,0.000296,0
112,585797135,0.999998,-0.001636,0.000991,0.000287,-0.155398,0.035469,-0.000797,0
113,585813802,0.999999,-0.001353,0.000922,0.000331,-0.155178,0.035560,-0.001657,0
114,585830469,0.999999,-0.001074,0.000857,0.000406,-0.154956,0.035748,-0.001305,0
115,585847136,0.999999,-0.000740,0.000839,0.000438,-0.154574,0.035248,-0.000873,0
116,585863803,0.999999,-0.000475,0.000774,0.000509,-0.154084,0.036551,-0.001298,0
117,585880470,0.999999,-0.000504,0.000786,0.000512,-0.152910,0.038150,-0.000612,0
118,585897137,0.999999,-0.000702,0.000871,0.000440,-0.152171,0.039004,-0.000774,0
119,585913804,0.999999,-0.000926,0.000961,0.000429,-0.151880,0.038969,-0.000410,0
120,585930471,0.999999,-0.000884,0.001129,0.000225,-0.154169,0.035322,-0.000123,0
121,585947138,0.999999,-0.000245,0.001224,-0.000214,-0.157658,0.027636,-0.000426,0
122,585963805,0.999999,0.000654,0.000879,-0.000583,-0.158571,0.024622,-0.001020,0
123,585980472,0.999999,0.001225,0.000746,-0.000820,-0.157412,0.028371,-0.001177,0
124,585997139,0.999998,0.001582,0.000691,-0.001045,-0.157932,0.031792,-0.000884,0
125,586013806,0.999998,0.001542,0.000611,-0.001174,-0.156960,0.032709,-0.000445,0
126,586030473,0.999998,0.001556,0.000633,-0.001167,-0.156450,0.033176,-0.001649,0
127,586047140,0.999998,0.001844,0.000433,-0.001116,-0.155672,0.033059,-0.003191,0
128,586063807,0.999997,0.002253,0.000278,-0.001083,-0.153267,0.034396,-0.003674,0
129,586080474,0.999996,0.002719,0.000306,-0.001107,-0.151250,0.034828,-0.002342,0
130,586097141,0.999995,0.003001,0.000362,-0.001080,-0.150999,0.034822,-0.001501,0
131,586113808,0.999995,0.003019,0.000419,-0.000973,-0.151351,0.036022,-0.000521,0
132,586130475,0.999996,0.002792,0.000301,-0.000928,-0.151657,0.036377,0.000128,0
133,586147142,0.999996,0.002648,0.000287,-0.000967,-0.150730,0.034620,-0.000559,0
134,586163809,0.999995,0.002982,0.000369,-0.001077,-0.152540,0.031372,-0.000044,0
135,586180476,0.999993,0.003614,0.000287,-0.001150,-0.154502,0.029259,0.001282,0
136,586197143,0.999991,0.004104,0.000111,-0.001026,-0.156820,0.030988,0.002521,0
137,586213810,0.999991,0.004145,-0.000264,-0.000885,-0.157891,0.034226,0.004694,0
138,586230477,0.999992,0.003899,-0.000684,-0.000703,-0.157502,0.036268,0.005014,0
139,586247144,0.999993,0.003565,-0.001059,-0.000440,-0.155221,0.038930,0.005746,0
140,586263811,0.999994,0.003125,-0.001478,-0.000270,-0.156653,0.038853,0.006701,0
141,586280478,0.999994,0.002771,-0.001961,-0.000087,-0.154623,0.040812,0.007936,0
142,586297145,0.999994,0.002622,-0.002096,0.000173,-0.151310,0.040300,0.007269,0
143,586313812,0.999995,0.002368,-0.002126,0.000450,-0.150956,0.039304,0.008084,0
144,586330479,0.999995,0.002256,-0.002099,0.000543,-0.152421,0.038360,0.007176,0
145,586347146,0.999995,0.002318,-0.002188,0.000584,-0.153056,0.035955,0.007447,0
146,586363813,0.999994,0.002653,-0.002009,0.000682,-0.153280,0.036143,0.009907,0
147,586380480,0.999995,0.002529,-0.001866,0.000824,-0.153632,0.037805,0.011851,0
148,586397147,0.999996,0.001841,-0.001867,0.000873,-0.152305,0.038799,0.011387,0
149,586413814,0.999997,0.001389,-0.001748,0.000835,-0.151016,0.038966,0.010274,0
150,586430481,0.999998,0.001282,-0.001660,0.000763,-0.152892,0.035738,0.011315,0
151,586447148,0.999997,0.001638,-0.001791,0.000636,-0.155267,0.031723,0.011745,0
152,586463815,0.999996,0.001903,-0.001843,0.000557,-0.154461,0.031700,0.011461,0
153,586480482,0.999997,0.001907,-0.001639,0.000547,-0.152194,0.036332,0.012690,0
154,586497149,0.999998,0.001294,-0.001217,0.000584,-0.150736,0.041742,0.013463,0
155,586513816,0.999999,0.000846,-0.000822,0.000501,-0.151303,0.040879,0.014529,0
156,586530483,0.999999,0.000823,-0.000589,0.000274,-0.152503,0.035470,0.014652,0
157,586547150,0.999999,0.000966,-0.000430,0.000029,-0.151784,0.033103,0.013667,0
158,586563817,0.999999,0.001147,-0.000211,0.000098,-0.150680,0.037133,0.014393,0
159,586580484,0.999999,0.001026,-0.000061,0.000389,-0.153956,0.040694,0.014297,0
160,586597151,0.999997,0.002354,-0.000437,0.000358,-0.155769,0.032683,0.015199,0
161,586613818,0.999993,0.003695,-0.000612,0.000250,-0.153767,0.025007,0.011596,0
162,586630485,0.999992,0.003920,-0.000592,0.000178,-0.148777,0.033104,0.008558,0
163,586647152,0.999993,0.003619,-0.000438,0.000513,-0.149739,0.043040,0.013339,0
